,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
41,,Biotechnology,Masters,Texas Tech University,Loan and waivers,N/A,N/A s,First,Refused
42,,Business Administration and Management,N/A,Xyz Community College,Father,N/A,N/A,First,Refused
43,,MBA,Masters,New York Institute of Technology,Father,N/A,N/A s,First,Refused
44,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
45,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
46,,Engineering Management,Masters,St. Cloud State University,Self and Father,N/A,Brother s,First,Refused
47,,Business Administration and Management,Bachelors,Troy University,Father,N/A,None s,Second,Refused
48,,Flight Training,N/A,N/A,Father and Cousin,N/A,N/A s,Second,Refused
49,,MBA,Masters,University of Bridgeport,Husband,Yes,N/A,First,Refused
50,,Information Technology,Bachelors,N/A,Father,Yes,N/A,Second,Refused
51,,Business Analytics,Masters,University of Dallas,N/A,N/A,N/A,Second,Refused
52,,Data Analytics and Strategic Business Intelligence,N/A,LIU,Brother,N/A,N/A s,First,Refused
53,,International Business,Bachelors,Minnesota State University,Mother,N/A,N/A,First,Refused
54,,Business Management,Bachelors,N/A,Father,N/A,N/A,Second,Refused
55,,N/A,N/A,Miami University,N/A,N/A,N/A,2nd,Refused
56,,Computer Science,N/A,N/A,N/A,N/A,N/A,First,Refused
57,,ECE,Bachelors,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle s,Third,Refused
58,,Computer Science,Bachelors,San Francisco State University,Father and Brother,$5000,N/A s,Second,Refused
59,,N/A,N/A,N/A,N/A,N/A,N/A,Second,"Refused, then issued"
60,,Business Administration,Bachelors,N/A,Uncle,N/A,N/A,First,Refused
61,,Marketing,Bachelors,St. Louis University,Father,N/A,N/A,Second,Refused
62,,MS in Information Technology,Masters,Gannon University,Father,N/A,N/A s,Second,Refused
63,,Technology Management,Masters,University of Massachusetts Dartmouth,N/A,N/A,N/A,First,Refused
64,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
65,,Engineering Management,N/A,N/A,Father,N/A,N/A,First,Refused
66,,Computer Science,Masters,DePaul University,N/A,N/A,N/A s,Second,Refused
67,,Electrical Engineering,N/A,N/A,Father,N/A,N/A,Second,Approved
68,,Technology Management,Masters,N/A,Parents,N/A,N/A,First,Refused
69,,N/A,N/A,Texas A&M University Corpus Christi,SAME,N/A,N/A,Second,Refused
70,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
71,,Food Technology and Processing,N/A,Minnesota State University Mankato,Mother,N/A,N/A s,First,Refused
72,,N/A,N/A,N/A,Father,Yes,N/A,N/A,N/A
73,,Architecture,N/A,Tacoma Community College,N/A,N/A,N/A s,First,Refused
74,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
75,,N/A,N/A,N/A,N/A,Yes,N/A,Second,Refused
76,,Business,Bachelors,South Dakota State University,Father,N/A,N/A,First,Refused
77,,N/A,N/A,Saint Cloud State University,Father,Yes,N/A,First,Refused
78,,N/A,N/A,N/A,N/A,N/A,N/A,First,N/A
79,,N/A,N/A,Westcliff University,N/A,N/A,N/A,Second,Refused
80,,Nutrition Psychology,N/A,Illinois State University,N/A,N/A,N/A,Second,N/A
81,,Business Administration and Management,Bachelors,Minnesota State University,N/A,N/A,N/A,First,Refused
82,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refused
83,,Business Analytics,Masters,Mercer University,Self,N/A,N/A,First,Refused
84,,Transportation,Masters,University of Washington Seattle,Father,N/A,Yes,First,Approved
85,,Industrial Engineering,Masters,University of Houston,Self and Father,N/A,None s,First,Approved
86,,Computer Science,Undergrad,University of Southern California,Family,Partial,Aunt,First,Approved
87,,Mechanical Engineering,Bachelors,Eastern Michigan University,Father,N/A,N/A,First,Approved
88,,PhD,PhD,University of California,N/A,N/A,N/A,N/A,N/A
89,,Nursing,Bachelors,Central Michigan University,Mother,Yes,No,First,Approved
90,,Business Administration,Bachelors,N/A,Parents and Uncle,Yes,Yes,Second,Approved
91,,Marketing Analytics,Masters,Pace,Father,N/A,No,First,Approved
92,,Computer Science,N/A,USF,N/A,Yes,N/A,First,Approved
93,,Computer Engineering,Masters,City University of New York,Aunt and Uncle,N/A,Aunt and Uncle,First,Approved
94,,N/A,N/A,N/A,N/A,Fully funded,N/A,First,Approved
95,,Mechanical Engineering,Masters,Southern Illinois University Edwardsville,Father,Yes,One brother,First,Approved
96,,Graphic Designing,Masters,Mississippi College,Mother's friend,N/A,Distant relatives s,First,Approved
97,,Business Analytics,Masters,N/A,Father,N/A,Yes s,First,Approved
98,,MS Finance,Masters,University of Houston,Father,Yes,N/A,First,Approved
99,,Mechanical Engineering,Masters,University of Cincinnati,Father,$20k,N/A,First,Approved
100,,Biotechnology,Masters,UTSA,Father,N/A,Distant cousin s,First,Approved
101,,N/A,N/A,N/A,N/A,N/A,N/A,Fourth,Refused
102,,Computer Science,Masters,DePaul,Parents,N/A,Two sisters,First,Approved
103,,Construction Management,Masters,University of North Texas,Father,N/A,"N/A
s","First
Visa Status",Approved
104,,Data Science,Masters,N/A,Self,N/A,No s,Second,Approved
105,,Business Administration,Bachelors,University of South Alabama,Father,N/A,Sister s,Third,Approved
106,,Physics,PhD,Oklahoma State University,N/A,Fully funded,No s,Second,Approved
107,,Civil Engineering,Masters,Purdue,N/A,N/A,Aunt,First,Approved
108,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
109,,Environmental Science,PhD,N/A,Father,University and Professor,N/A s,First,Approved
110,,LLM,Masters,Illinois Institute of Technology,Father,Yes,N/A,First,Approved
111,,N/A,N/A,University of Kansas,Father,Yes,Yes,First,Approved
112,,Public Informatics and Urban Planning,Masters,Rutgers University,Family,60%,Brothers,First,Approved
113,,Nutrition and Dietetics,Bachelors,SEMO,Mother,N/A,None,First,Approved
114,,Civil Engineering,Masters,University of Texas at Austin,Uncle,N/A,Uncle,First,Approved
115,,Psychology,Bachelors,University of North Texas,Father,N/A,No s,First,Approved
116,,Curriculum and Instruction,PhD,Virginia Tech,N/A,100% assistantship,N/A,First,Approved
117,,Project Management,Masters,Northeastern University,Father,N/A,N/A s,Second,Approved
118,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
119,,Physics,Bachelors,Saginaw Valley State University,Uncle,50%,Uncle,First,Approved
120,,International Business,Bachelors,"University of Minnesota, Mankato",Father,$8k,Brother s,First,Approved
121,,Bachelor of Agriculture,Bachelors,Southwest Minnesota State University,Father,N/A,N/A s,Second,Approved
122,,MAS Power Engineering,Masters,IIT Chicago,Father,N/A,"2 brothers, 2 sisters",First,Approved
123,,Energy Systems,Masters,Illinois Institute of Technology,Father,N/A,N/A s,First,Approved
124,,Information Systems,Masters,Cleveland State University,Mother,N/A,No s,First,Approved
125,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,,MBA,Masters,Top 10 MBA school,Private loan,Yes,N/A,First,Approved
127,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,No s,First,Approved
128,,Business,Bachelors,California State University,Father,N/A,N/A s,Third,Approved
129,,Data Science,Masters,Stevens Institute of Technology,and Student Loan,Yes,No s,First,Approved
130,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
131,,Biomedical Engineering,PhD,The Ohio State University,N/A,Fully funded,N/A,First,Approved
132,,CS,MS,TU,and Student Loan,Yes,Yes,First,Approved
133,,Computer Science,PhD,Stony Brook,Fully funded,Yes,N/A,First,Approved
134,,Business Analytics,Masters,University of Central Oklahoma,Father,Partial,Brother-in-law s,Second,Approved
135,,Public Health,Masters,University of New Haven,Father,N/A,N/A,First,Approved
136,,N/A,N/A,N/A,Spouse,N/A,N/A,First,Approved
137,,Data Analytics,Masters,New Mexico State University,Father,N/A,Brother s,First,Approved
138,,N/A,N/A,Drexel University,Father,N/A,No,First,Approved
139,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140,,N/A,Masters,University of Cumberlands,Brother,N/A,"Sisters and Brother
s",First,Approved
141,,Chemistry,PhD,University of Tulsa,N/A,Research Assistantship,N/A,N/A,N/A
142,,Public Health,Masters,N/A,Parents,N/A,Brother,First,Approved
143,,LLM,Masters,N/A,N/A,Fully/Partially Funded,N/A,N/A,N/A
144,,Computer Science,Undergraduate,University of Connecticut,Father,Yes,N/A s,First,Approved
145,,N/A,N/A,N/A,Self,N/A,"Spouse, Child",First,Approved
146,,Master's,Master's,Not mentioned,xyz,N/A,N/A s,First,Approved
147,,Civil Engineering,Masters,University of Alabama,Father,Graduate Assistantship,N/A,First,Approved
148,,Computer Science,Bachelors,The University of Southern Mississippi,Father,100%,N/A s,N/A,N/A
149,,Civil Engineering,PhD,University of Kansas,N/A,Yes,N/A s,First,Approved
150,,Business Analytics,Masters,XYZ School,Self-finance and brother,Yes,Brother s,Second,Approved
151,,Engineering,Masters,N/A,N/A,N/A,N/A s,First,Approved
152,,Electrical Engineering,N/A,N/A,Father,N/A,N/A,Second,Approved
153,,Business Analytics,Masters,Mercer University,Father,N/A,N/A,First,Approved
154,,N/A,N/A,N/A,N/A,N/A,N/A,Second,221g
155,,Agricultural and Applied Economics,Masters,University of Illinois Urbana Champaign,Professor (name not mentioned),Yes,N/A,First,Approved
156,,Electrical,Masters,University of Missouri Kansas City (UMKC),Father,N/A,Maternal Uncle s,First,Approved
157,,Business Administration,Bachelors,DePaul University,Cousin,N/A,N/A s,First,Approved
158,,Industrial Engineering,Masters,Texas A&M University,Parents,N/A,Sister,First,Approved
159,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,,Computer Science,Masters,University of the Pacific,Father,N/A,N/A s,Second,Approved
161,,CS,Masters,Western New England,Father,N/A,N/A,First,Approved
162,,MSBA,Masters,XYZ University,Father,Yes,N/A,First,Approved
163,,Business Administration,Masters,University of New Haven,XYZ,N/A,N/A,First,Approved
164,,Computer Science,Bachelors,University of Illinois,Father,N/A,N/A s,Third,Approved
165,,Civil Engineering,Masters,Lamar University,Father,Yes,N/A s,First,Approved
166,,MBA,Masters,N/A,Self,N/A,No s,First,Approved
167,,Hospitality Management,Masters,Iowa State University,Mother,N/A,N/A,First,Approved
168,,N/A,N/A,St. John's University,N/A,N/A,N/A,N/A,N/A
169,,Computer Science,Masters,DePaul,Parents,N/A,N/A s,First,Approved
170,,Project Management,Masters,Northeastern University,Friend,N/A,N/A,Second,Approved
171,,N/A,N/A,N/A,Self,N/A,N/A,First,Approved
172,,MBA,Masters,N/A,Father,N/A,N/A,First,Approved
173,,N/A,Bachelor's,Harvard,N/A,N/A,N/A,Second,Refused
174,,Pharmacy,Bachelors,SDSU,Father,N/A,N/A,First,Refused
175,,Computer Science,Masters,City University of Seattle,Father,N/A,N/A,First,Refused
176,,N/A,N/A,N/A,Father,Yes,N/A,Second,Refused
177,,MBA with concentration in Business Analytics,Masters,University of Dallas (UD),Sister,N/A,"Sister
s","First
Visa Status",Refused
178,,N/A,N/A,N/A,N/A,N/A,No,First,Refused
179,,Business Administration and Management,Masters,LIU Brooklyn Campus,Father's Elder Brother,N/A,Uncle,First,Refused
180,,Doctorate of Business Administration,PhD,N/A,Self,N/A,N/A,First,Refused
181,,Cyber Security,Masters,UD (University not specified),Uncle,N/A,Uncle,First,Refused
182,,MSBA,Masters,University of Hartford,Father,$4000,No,First,Refused
183,,Computer Science,Bachelors,University of Central Florida,N/A,N/A,N/A s,First,Refused
184,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
185,,N/A,N/A,N/A,N/A,N/A,Brother and nephews,First,Refused
186,,Cyber Security,Bachelors,Arkansas Tech University,Self,N/A,N/A s,First,Refused
187,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
188,,Computer Science,Masters,University of the Pacific,Father,N/A,N/A s,Second,Approved
189,,Computer Software Technology,N/A,N/A,Father,N/A,"Brother
s",First,Refused
190,,Computer Science,Masters,Maharishi International University,N/A,N/A,N/A,First,Refused
191,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192,,Computer Science,N/A,Saint Louis University,Parents,Yes,Uncle,First,Refused
193,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
194,,Accountancy,Bachelors,DePaul University,Father,Yes,N/A s,Second,Refused
195,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
196,,Data Sciences,Masters,XYZ University,N/A,N/A,N/A,Second,Refused
197,,Computing and Information Sciences,PhD,N/A,Fully funded PhD scholarship,Yes,N/A,First,Refused
198,,Computer Science,Bachelors,Missouri State University,Father,N/A,N/A s,Second,Refused
199,,Mechanical Engineering,Masters,N/A,Father,Yes,N/A,First,Refused
200,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,N/A s,First,Refused
201,,BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected
202,,Data Science,Masters,University of New Haven,Father,N/A,N/A s,Second,Refused
203,,Finance,Masters,Illinois Institute of Technology,N/A,Yes,N/A s,Second,Refused
204,,Engineering Management,Masters,Westcliff Irvine,Father,N/A,N/A,Second,Refused
205,,Master's,Master's,Texas Tech State University,N/A,Yes,N/A s,First,Refused
206,,Structural Engineering,PhD,Caltech,N/A,Fully funded,N/A,First,Refused
207,,Exercise Science,Bachelors,Central Michigan University,Father,50%,N/A,First,Refused
208,,MBA,Masters,Oklahoma City University,Parents,N/A,Father s,Third,Refused
209,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
210,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
211,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
212,,N/A,N/A,University of Wisconsin Milwaukee,Father,N/A,N/A,Second,Refused
213,,Entertainment Business,Masters,Full Sail University,Father,N/A,N/A s,First,Refused
214,,Biotechnology,Masters,Texas Tech University,Loan and waivers,N/A,N/A s,First,Refused
215,,Business Administration and Management,N/A,Xyz Community College,Father,N/A,N/A,First,Refused
216,,MBA,Masters,New York Institute of Technology,Father,N/A,N/A s,First,Refused
217,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
218,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
219,,Engineering Management,Masters,St. Cloud State University,Self and Father,N/A,Brother s,First,Refused
220,,Business Administration and Management,Bachelors,Troy University,Father,N/A,None,Second,Refused
221,,Flight Training,N/A,N/A,Father and Cousin,N/A,N/A s,Second,Refused
222,,MBA,Masters,University of Bridgeport,Husband,Yes,N/A,First,Refused
223,,Information Technology,Bachelors,N/A,Father,Yes,N/A,Second,Refused
224,,Business Analytics,Masters,University of Dallas,N/A,N/A,N/A,Second,Refused
225,,Data Analytics and Strategic Business Intelligence,N/A,LIU,Brother,N/A,N/A s,First,Refused
226,,International Business,Bachelors,Minnesota State University,Mother,N/A,N/A,First,Refused
227,,Business Management,Bachelors,N/A,Father,N/A,N/A,Second,Refused
228,,N/A,N/A,Miami University,N/A,N/A,N/A,2nd,Refused
229,,Computer Science,N/A,N/A,N/A,N/A,N/A,First,Refused
230,,ECE,Bachelors,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle s,Third,Refused
231,,Computer Science,Bachelors,San Francisco State University,Father and Brother,$5000,N/A s,Second,Refused
232,,N/A,N/A,N/A,N/A,N/A,N/A,Second,"Refused, then issued"
233,,Business Administration,Bachelors,N/A,Uncle,N/A,N/A s,First,Refused
234,,Marketing,Bachelors,St. Louis University,Father,N/A,N/A,Second,Refused
235,,Information Technology,Masters,Gannon University,Father,N/A,N/A s,Second,Refused
236,,Technology Management,Masters,University of Massachusetts Dartmouth,N/A,N/A,N/A,First,Refused
237,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
238,,Engineering Management,N/A,N/A,Father,N/A,N/A,First,Refused
239,,Computer Science,Masters,DePaul University,N/A,N/A,N/A s,Second,Refused
240,,Electrical Engineering,N/A,N/A,Father,N/A,N/A,Second,Approved
241,,Technology Management,Masters,N/A,Parents,N/A,N/A,First,Refused
242,,N/A,N/A,Texas A&M University Corpus Christi,SAME,N/A,N/A,Second,Refused
243,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
244,,Food Technology and Processing,N/A,Minnesota State University Mankato,Mother,N/A,N/A s,First,Refused
245,,N/A,N/A,N/A,Father,Yes,N/A,N/A,N/A
246,,Architecture,N/A,Tacoma Community College,N/A,N/A,N/A s,First,Refused
247,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
248,,N/A,N/A,N/A,N/A,Yes,N/A,Second,Refused
249,,Business,Bachelors,South Dakota State University,Father,N/A,N/A,First,Refused
250,,N/A,N/A,Saint Cloud State University,Father,Yes,N/A,First,Refused
251,,N/A,N/A,N/A,N/A,N/A,N/A,First,N/A
252,,N/A,N/A,Westcliff University,N/A,N/A,N/A,Second,Refused
253,,Nutrition Psychology,N/A,Illinois State University,N/A,N/A,N/A,Second,N/A
254,,Business Administration and Management,Bachelors,Minnesota State University,N/A,N/A,N/A,First,Refused
255,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refused
256,,Business Analytics,Masters,Mercer University,Self,N/A,N/A,First,Refused
257,,N/A,N/A,N/A,N/A,N/A,"N/A
s",Third,Rejected
258,,Management Sciences and Quantitative Methods,Masters,University of Wisconsin Milwaukee,Father,N/A,No s,Third,Rejected
259,,Computer Science,Bachelors,Wright State University,Mother,Yes,N/A s,First,Rejected
260,,Computer Science,Masters,XYZ University,Brother,N/A,No s,First,Rejected
261,,N/A,N/A,N/A,N/A,N/A,Cousin,First,Rejected
262,,BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected
263,,Geology,Masters,California State University Fresno,Father,N/A,N/A s,First,Rejected
264,,Computer Science,Bachelors,University of Illinois,Father,N/A,N/A s,Third,Approved
265,,N/A,Bachelors,Westcliff University,Father,N/A,N/A,First,Rejected
266,,Business Administration,Bachelors,University of South Alabama,Father,N/A,Sister s,Third,Approved
267,,Computer Science,Bachelors,Minnesota State University Mankato,Father,Yes,N/A s,First,Approved
268,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Rejected
269,,Master of Engineering,Masters,Texas Tech University,Father,N/A,N/A s,Third,Rejected
270,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
271,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
272,,Computer Science,Masters,Westcliff University,Father,N/A,N/A s,First,Rejected
273,,CS,Masters,Florida State University,Brother,N/A,Brother s,First,Rejected
274,,Business Analytics,Masters,Hofstra,Parents,N/A,N/A s,First,Rejected
275,,Doctorate in Business Administration,PhD,Westclift University,Self,N/A,N/A,First,Rejected
276,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Rejected
277,,Computer Science,Bachelors,Queens College CUNY,Father,N/A,N/A s,First,Rejected
278,,MSCS,Masters,UT Dallas,Father,N/A,No s,First,Rejected
279,,CS,Masters,Illinois Institute of Technology,Father,$10k,N/A s,2,Rejected
280,,Civil Engineering,Ph.D.,George Mason University,Brother,Yes,N/A,Second,Rejected
281,,N/A,N/A,Louisiana Tech University,N/A,N/A,N/A,First,Rejected
282,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Rejected
283,,MBA,Masters,Adelphi University,Father,N/A,N/A s,First,Rejected
284,,N/A,N/A,N/A,N/A,N/A,N/A,Multiple,Rejections and Approvals
285,,Management Sciences and Quantitative Methods,Masters,Wisconsin University,Father,N/A,No s,Second,Rejected
286,,Data Science and Analytics,Masters,Grand Valley State University,Father,N/A,N/A,Second,Rejected
287,,N/A,N/A,N/A,N/A,N/A,N/A,Third,N/A
288,,CIS,Bachelors,Eastern Illinois University,Father,Partial,N/A s,First,Rejected
289,,Business Administration and Management,Bachelors,Missouri State University,Father,N/A,N/A s,Second,Rejected
290,,Information Systems,Masters,Northeastern University,N/A,N/A,N/A,Second,N/A
291,,Computer Science,N/A,N/A,Father,N/A,Friend and cousin,Second,Rejected
292,,N/A,N/A,Penn State University,N/A,N/A,N/A,Second,N/A
293,,Business Analytics,Masters,DePaul University,Father,Yes,No s,Second,Rejected
294,,N/A,N/A,N/A,N/A,N/A,N/A,Third,Rejected
295,,Business Administration,Bachelors,University of Utah,Father,Yes,N/A,First,Rejected
