,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
41,,Biotechnology,Masters,Texas Tech University,Loan and waivers,N/A,N/A,First,Refused under 221g
42,,Business Administration and Management,N/A,Xyz Community College,Father,N/A,N/A,First,Refused
43,,MBA,Masters,New York Institute of Technology,Father,N/A,N/A s,First,Refused
44,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
45,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
46,,Engineering Management,Masters,St. Cloud State University,Self and Father,N/A,Brother,First,Refused
47,,Business Administration and Management,Bachelors,Troy University,Father,N/A,N/A,Second,Refused
48,,Flight Training,N/A,N/A,Father and Cousin,N/A,N/A s,Second,Refused
49,,MBA,Masters,University of Bridgeport,Husband,Yes,N/A,First,Refused
50,,Information Technology,Bachelors,N/A,Father,Yes,N/A,Second,Refused
51,,Business Analytics,Masters,University of Dallas,N/A,N/A,N/A,Second,Refused
52,,Data Analytics and Strategic Business Intelligence,N/A,LIU,Brother,N/A,N/A,First,Refused
53,,International Business,Bachelors,Minnesota State University,Mother,N/A,N/A,First,Refused under 214(b)
54,,Business Management,Bachelors,N/A,Father,N/A,N/A,Second,Refused
55,,N/A,N/A,Miami University,N/A,N/A,N/A,2ndAttempt,Refused
56,,Computer Science,N/A,N/A,N/A,N/A,N/A,First,Refused
57,,ECE,Bachelors,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle s,Third,Refused
58,,Computer Science,Bachelors,San Francisco State University,Father and Brother,$5000,N/A,Second,Refused
59,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Approved
60,,Business Administration,Bachelors,N/A,Uncle,N/A,N/A,First,Refused
61,,Marketing,Bachelors,St. Louis University,Father,N/A,N/A,Second,Refused
62,,MS in Information Technology,Masters,Gannon University,Father,N/A,N/A s,Second,Refused
63,,Technology Management,Masters,University of Massachusetts Dartmouth,N/A,N/A,N/A,First,Refused
64,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
65,,Engineering Management,N/A,N/A,Father,N/A,N/A,First,Refused
66,,Computer Science,Masters,DePaul University,N/A,N/A,N/A s,Second,Refused
67,,Electrical Engineering,N/A,N/A,Father,N/A,N/A,Second,Approved
68,,Technology Management,Masters,N/A,Parents,N/A,N/A,First,Refused
69,,N/A,N/A,Texas A&M University Corpus Christi,SAME,N/A,N/A,Second,Refused
70,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
71,,Food Technology and Processing,N/A,Minnesota State University Mankato,Mother,N/A,N/A,First,Refused
72,,N/A,N/A,N/A,Father,Yes,N/A,N/A,N/A
73,,Architecture,N/A,Tacoma Community College,N/A,N/A,N/A s,First,Refused
74,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
75,,N/A,N/A,N/A,N/A,Yes,N/A,Second,Refused
76,,Business,Bachelors,South Dakota State University,Father,N/A,N/A,First,Refused
77,,N/A,N/A,Saint Cloud State University,Father,Yes,N/A,First,Refused
78,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79,,N/A,N/A,Westcliff University,N/A,N/A,N/A,Second,Refused
80,,Nutrition Psychology,N/A,Illinois State University,N/A,N/A,N/A s,Second,N/A
81,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refused under 221g
82,,Business Analytics,Masters,Mercer University,Self,N/A,N/A,First,Refused
83,,Transportation,N/A,University of Washington Seattle,Father,N/A,Yes,First,Approved
84,,Industrial Engineering,Masters,University of Houston,Self,N/A,None s,First,Approved
85,,Computer Science,Undergrad,University of Southern California,Family,Partial,Aunt,First,Approved
86,,Mechanical Engineering,Bachelors,Eastern Michigan University,Father,N/A,N/A,First,Approved
87,,PhD,PhD,University of California,N/A,N/A,N/A,N/A,N/A
88,,Nursing,Bachelors,Central Michigan University,Mother,Yes,No,First,Approved
89,,Business Administration,Bachelors,N/A,Parents and Uncle,Yes,Yes,Second,Approved
90,,Marketing Analytics,Masters,Pace,Father,N/A,No,First,Approved
91,,Computer Science,N/A,USF,N/A,Yes,N/A,First,Approved
92,,Computer Engineering,Masters,City University of New York,Aunt and Uncle,N/A,Aunt and Uncle,First,Approved
93,,N/A,N/A,N/A,N/A,Fully funded,N/A,First,Approved
94,,Mechanical Engineering,Masters,Southern Illinois University Edwardsville,Father,Yes,One brother,First,Approved
95,,Graphic Designing,Masters,Mississippi College,Mother's friend,N/A,Distant relatives s,First,Rejected
96,,Business Analytics,Masters,N/A,Father,N/A,Yes s,First,Approved
97,,MS Finance,Masters,University of Houston,Father,Yes,N/A,First,Approved
98,,Mechanical Engineering,Masters,University of Cincinnati,Father,$20k,N/A,First,Approved
99,,Biotechnology,Masters,UTSA,Father,N/A,Distant cousin,First,Approved
100,,N/A,N/A,University of North Carolina at Pembroke,N/A,N/A,N/A,Fourth,Refused
101,,Computer Science,Masters,DePaul,Parents,N/A,Two sisters,First,Approved
102,,Construction Management,Masters,University of North Texas,Father,N/A,"N/A
s","First
Visa Status",Approved
103,,Data Science,Masters,N/A,Self,N/A,No,Second,Approved
104,,Business Administration,Bachelors,University of South Alabama,Father,N/A,Sister s,Third,Approved
105,,Physics,PhD,Oklahoma State University,N/A,Fully funded,No s,Second,Approved
106,,Civil Engineering,Masters,Purdue,N/A,N/A,Aunt,First,Approved
107,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
108,,Environmental Science,PhD,N/A,Father,N/A,N/A s,First,Approved
109,,LLM,Masters,Illinois Institute of Technology,Father,Yes,N/A,First,Approved
110,,N/A,N/A,University of Kansas,Father,Yes,N/A,First,Approved
111,,Public Informatics and Urban Planning,Masters,Rutgers University,Family,60%,Brothers,First,Approved
112,,Nutrition and Dietetics,Bachelors,SEMO,Mother,N/A,None,First,Approved
113,,Civil Engineering,Masters,University of Texas at Austin,Uncle,N/A,Uncle s,First,Approved
114,,Psychology,Bachelors,University of North Texas,Father,N/A,No s,First,Approved
115,,Curriculum and Instruction,PhD,Virginia Tech,N/A,100% assistantship,N/A,First,Approved
116,,Project Management,Masters,Northeastern University,Father,N/A,N/A s,Second,Approved
117,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
118,,Physics,Bachelors,Saginaw Valley State University,Uncle,50%,Uncle,First,Approved
119,,International Business,Bachelors,"University of Minnesota, Mankato",Father,$8k,Brother s,First,Approved
120,,Agriculture,Bachelors,Southwest Minnesota State University,Father,N/A,N/A s,Second,Approved
121,,MAS Power Engineering,Masters,IIT Chicago,Father,N/A,4 s,First,Approved
122,,Energy Systems,Masters,Illinois Institute of Technology,Father,N/A,N/A s,First,Approved
123,,Information Systems,Masters,Cleveland State University,Mother,N/A,No s,First,Approved
124,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,,MBA,Masters,Top 10 MBA school,Private loan,Yes,N/A,First,Approved
126,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,No s,First,Approved
127,,Business,Bachelors,California State University,Father,N/A,N/A s,Third,Approved
128,,Data Science,Masters,Stevens Institute of Technology,and Student Loan,Yes,No s,First,Approved
129,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
130,,Biomedical Engineering,PhD,The Ohio State University,N/A,Fully funded,N/A,First,Approved
131,,CS,MS,TU,and Loan,Yes,Yes,First,Approved
132,,Computer Science,PhD,Stony Brook,Fully funded,Yes,N/A s,First,Approved
133,,Business Analytics,Masters,University of Central Oklahoma,Father,Partial,Brother-in-law s,Second,Approved
134,,Public Health,Masters,University of New Haven,Father,N/A,N/A,First,Approved
135,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
136,,Data Analytics,Masters,New Mexico State University,Father,N/A,Brother s,First,Approved
137,,N/A,N/A,Drexel University,Father,N/A,No,First,Approved
