,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
23,,Food and Nutrition,MPhil,University of Minnesota,HEC and University,Fully Funded,N/A,First,N/A
24,,N/A,N/A,Texas A&M University Corpus Christi,SAME,N/A,N/A,Second,Refused
25,,Computer Science,Bachelor's,University of Massachusetts Amherst,Father,Yes,Yes,First,Approved
26,,N/A,Bachelors,University of Kansas,Father,36k,Father,First,Approved
27,,Computer Science,Masters,DePaul University,Parents,N/A,Two sisters,First,Approved
28,,Computer Science,Bachelors,Washington State University,Father,N/A,Brother,First,Rejected
29,,Data Science,Masters,"Illinois Institute of Technology, American University Washington DC, Florida Atlantic University, University of the Pacific California",N/A,N/A,N/A,N/A,N/A
30,,Information Systems,Masters,Cleveland State University,Mother,N/A,None,First,Approved
31,,IT,Bachelors,N/A,N/A,N/A,N/A,Second,Rejected
32,,Physical Education and Nutrition,N/A,Adelphi University NY,N/A,N/A,N/A,N/A,N/A
33,,Marketing,Bachelors,St Louis University,Father,N/A,"2 brothers, 2 sisters",Second,Refused
34,,Agriculture,Bachelor,Southwest Minnesota State University,Father,N/A,N/A,2nd,Approved
35,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,,Civil Engineering,Masters,Texas Tech University,Mother,50%,No,Second,Approved
37,,Training Session,N/A,N/A,Self,N/A,N/A,First,Approved
38,,Academic Intensive English,N/A,Salem University,Brother,N/A,None,First,Approved
39,,Computer Science Engineering,PhD,University of North Texas Denton,N/A,N/A,N/A,First,Approved
40,,N/A,N/A,N/A,N/A,N/A,N/A,First,Administrative Processing (221g)
41,,Engineering Management,Masters,Central Michigan University,Father,N/A,N/A,Third,Refused
42,,Business Administration,Bachelors,Williamson College of Business,Father,N/A,N/A,First,Approved
43,,Computer Science,Masters,DePaul University,N/A,N/A,N/A,First,Refused
44,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refused
45,,Computer Science,N/A,University of Alabama,Parents,N/A,N/A,Second,Refused
46,,MBA Entrepreneurship,N/A,Bay Atlantic University,Father,35% Annual,N/A,Third,Refused
47,,Doctor of Business Administration,Doctorate,Westcliff University,N/A,N/A,N/A,First,Refused (214(b))
48,,Engineering Management,Masters,St. Cloud State University,Self and Father,N/A,Brother,First,Refused
49,,BBA,N/A,Westcliff University,Father,N/A,No,First,Approved
50,,N/A,N/A,New York Institute of Technology,Father,N/A,N/A,Second,Refused
51,,Bachelor,N/A,Miami University,N/A,N/A,N/A,2ndAttempt,Refused
52,,MS Business Analytics,Masters,DePaul University,Father,Yes,Brother,First,Approved
53,,Engineering (Civil),Masters,N/A,N/A,Graduate Assistantship,N/A,First,Approved
54,,N/A,N/A,Central Michigan University,Father,N/A,N/A,First,Refused
55,,BS Industrial Engineering,N/A,"University of Illinois at Chicago, University of Dayton, Auburn University, University of Central Florida, University of the Pacific",N/A,N/A,N/A,Canada study visa refused,N/A
56,,Biological Sciences,BS,University of Arizona,Father,N/A,N/A,First,Refused
57,,Business Analytics,N/A,UMass Boston,Father,N/A,N/A,First,N/A
58,,Doctorate,N/A,N/A,N/A,N/A,N/A,First,Approved
59,,Flight Training,N/A,N/A,Father and Cousin,N/A,N/A,2nd,Refused
60,,Mechanical Engineering,Bachelors,Indiana Institute of Technology,Father,"$13,000 ",N/A s,Fourth,Refused
61,,Engineering,Masters,N/A,N/A,N/A,N/A,First,Approved
62,,Business Management,Bachelors,N/A,Father,N/A,N/A,Second,Refused
63,,Engineering Management,Masters,Westcliff Irvine,Father,N/A,N/A,Second,Refused
64,,BSCS,N/A,NYU,Father,N/A,N/A,First,Approved
65,,Computer Science,Bachelors,Missouri State University,Father,N/A,N/A,Second,Refused
66,,N/A,N/A,N/A,N/A,N/A,N/A,First,221(g) Administrative Processing
67,,Conference,N/A,George Mason University,N/A,Fully Funded,N/A,First,Approved
68,,N/A,N/A,N/A,Father,N/A,N/A,First,Refused
69,,BBA,Bachelor,N/A,N/A,N/A,N/A,First,Refused
70,,Cyber Security,Masters,UD,Uncle,N/A,Uncle,First,Refused
71,,Cinematography and Film Production,N/A,N/A,Father,Yes,N/A,Second,Approved
72,,Economics and Business Administration,Undergraduate,N/A,N/A,N/A,N/A,2nd,Rejected
73,,PhD Computing and Information Sciences,PhD,N/A,Fully funded scholarship,Yes,N/A,First,Refused (221g)
74,,Business Administration,Bachelors,University of South Alabama,Brother,N/A,N/A,3,Refused
75,,Computer Software Technology,N/A,N/A,Father,N/A,Brother,First,Refused
76,,SCM,Masters,N/A,Father,N/A,N/A,First,Refused
77,,N/A,N/A,N/A,N/A,N/A,N/A,First,N/A
78,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
79,,Business Administration and Management,Bachelor's,Troy University,Father,N/A,N/A,Second,Refused
80,,Mechanical Engineering,Masters,University of Dayton,Father,N/A,No,First,Approved
81,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
82,,F2 Visa,N/A,N/A,N/A,N/A,N/A,First,Administrative Processing
83,,Business,Bachelors,N/A,Father,N/A,N/A,Third,Approved
84,,MS Computer Science,Masters,Not mentioned,Father,Yes (Assistantship),N/A,First,Approved
85,,PhD,N/A,N/A,N/A,N/A,N/A,First,Refused
86,,Chemical Engineering PhD,PhD,University of Massachusetts Amherst,Assistantship,N/A,N/A,First,Approved
87,,MS Biological Sciences,Masters,New Mexico Highlands University,Father,N/A,N/A,First,Approved
88,,N/A,N/A,N/A,Self,N/A,N/A,First,Approved
89,,N/A,N/A,N/A,N/A,N/A,N/A,First,Rejected
90,,PhD,N/A,N/A,Funded position/HEC,Yes,N/A,First,Administrative Processing (AP)
91,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,No,First,Approved
92,,N/A,N/A,University of Louisiana at Monroe,N/A,90%,N/A,First,Refused (221g)
93,,Physics,PhD,Texas Tech University,N/A,N/A,N/A,First,AP (221g)
94,,Information Technology,Masters,Gannon University,N/A,N/A,N/A,First,Refused
95,,Engineering,Masters,N/A,Uncle,N/A,No,First,Refused
96,,Data Analytics,Masters,New Mexico State University,Father,N/A,Brother,First,Approved
97,,MS BA,Masters,USF,Father,N/A,N/A,First,Approved
98,,Big Data Analysts,Masters,Bay Atlantic University,N/A,N/A,Elder Brother,First,Refused
99,,MBA,Masters,N/A,Father,N/A,N/A,First,Approved
100,,Construction Management,Masters,University of North Texas,Father,N/A,N/A,First,Approved
101,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
102,,MSBA,N/A,XYZ University,Father,Yes,Aunt,First,Approved
103,,N/A,N/A,South Dakota State University,N/A,N/A,N/A,First,N/A
104,,Computer Science,Masters,DePaul,Parents,N/A,N/A,First,Approved
105,,MSBA,Masters,"WP Carey (Arizona State University), Utah, Umass Amherst",N/A,N/A,N/A,N/A,N/A
106,,N/A,N/A,N/A,Husband,N/A,N/A,Third,Refused
107,,N/A,N/A,Westcliff University,N/A,N/A,N/A,Second,Refused
108,,Transportation Engineering,Masters,University of Washington,Father,N/A,Uncle,First,Rejected
109,,Business Analytics,Masters,Mercer,Self,N/A,N/A,First,Approved
110,,Nursing,BS,Pace University,Father,N/A,N/A,Third,Refused
111,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
112,,Masters,N/A,N/A,N/A,N/A,N/A,First,Refused
113,,Environmental Studies,Masters,Lamar University,Father,N/A,N/A,First,Refused
114,,Business Analytics,Masters,Mercer University,Father,N/A,No,First,Approved
115,,N/A,N/A,N/A,Yes,N/A,N/A,First,Approved
116,,Business Administration,Bachelors,DePaul University,Cousin,N/A,N/A,First,Approved
117,,Computer Science,N/A,UMass Boston,Father,N/A,N/A,Second,Refused
118,,N/A,N/A,N/A,Spouse,N/A,N/A,First,Refused
119,,Career Counseling,Master's and Specialist,Florida State University,Uncle,Assistantship,Uncle,First,Approved
120,,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A
121,,N/A,Master's,"University of California, Davis",Father,N/A,N/A,First,Approved
122,,MS Biological Sciences,Masters,New Mexico Highlands University,Father,N/A,N/A,First,Approved
123,,Computer Science,Bachelors,University of Central Florida,N/A,N/A,N/A,First,Refused
124,,Computer and Information Sciences,Masters,Adelphi University,Father,N/A,Brothers,Second,Refused
125,,Biotechnology,Masters,Texas Tech University,Loan and waivers,Yes,N/A,First,Refused (221g)
126,,Industrial Engineering,Masters,Texas A&M University,Parents,N/A,Sister,First,Approved
127,,PhD,F1,N/A,N/A,Funded,N/A,First,N/A
128,,Energy Management,Masters,New York Institute of Technology,N/A,N/A,Father,First,Rejected
129,,N/A,N/A,DePaul University,Employer,N/A,N/A,First,Refused
130,,N/A,N/A,Full Sail University,Father,N/A,N/A,First,Refused
131,,J-1 Visa,N/A,N/A,N/A,N/A,N/A,Second,Refused
132,,N/A,N/A,N/A,Uncle,N/A,Uncle,Second,Approved
133,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
134,,Health Sciences,Bachelor's,Texas A&M University,Father,N/A,Uncle,First,Approved
135,,Food Technology and Processing,N/A,Minnesota State University Mankato,Mother,N/A,N/A,First,Refused
136,,Computer Science,Masters,DePaul,N/A,N/A,N/A,N/A,N/A
137,,Mechanical Engineering,Masters,N/A,Father,Yes,N/A,First,Refused (221(g))
138,,HealthCare Analytics,Masters,Robert Morris University,Father,N/A,Younger sister,Third,Approved
139,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused (221g)
140,,Computer Science,Masters,University of Bridgeport,N/A,Yes,N/A,First,Refused
141,,Bachelors,Bachelors,N/A,N/A,N/A,N/A,First,Approved
142,,Computer Science,N/A,N/A,N/A,N/A,N/A,First,Refused
143,,J1,N/A,N/A,N/A,N/A,N/A,First,Refused (pending administrative processing)
144,,Undergrad,N/A,T-50 university,N/A,80,N/A,First,Approved (but under administrative processing)
145,,Autonomous Systems & Robotics,N/A,Illinois Institute of Technology,Father,$7k per semester,N/A,First,Refused
146,,Computer Science,Masters,DePaul,Parents,N/A,N/A,First,Approved
147,,Architecture,N/A,Tacoma Community College,N/A,N/A,None,First,Refused
148,,Business Analytics,Masters,Mercer University,Father,N/A,N/A,First,Approved
149,,Mechanical Engineering,Masters,N/A,N/A,N/A,Sister,First,Approved
150,,Peace and Conflict Studies,Masters,"Rutgers University, Newark",Father,N/A,N/A,First,Refused
151,,Business Administration,Bachelor,North American University,Parents,Yes,N/A,First,Refused
152,,N/A,N/A,Iowa State University,Father,N/A,Brother,First,Rejected
153,,N/A,N/A,N/A,Family,N/A,Brother in USA,First,Approved
154,,Engineering Management,Masters,N/A,Father,N/A,Family in Saudi Arabia,First,Approved
155,,Hospitality Management,Baccalaureate,South Dakota State University,Father,N/A,N/A,First,Approved
156,,Masters in Peace and Conflict / Masters in Political Science,Masters,Rutgers-Newark / University of South Florida,Self / N/A,N/A,N/A,N/A,N/A
157,,Engineering Management,Masters,Gannon University,N/A,N/A,N/A,First,Refused
158,,MPA,Masters,University of Alabama,N/A,N/A,N/A,First,Rejected
159,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,,N/A,N/A,N/A,HEC,N/A,N/A,First,Approved
161,,Health Care Management,Masters,N/A,N/A,N/A,N/A,First,Refused
162,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
163,,Business Administration,Masters,University of New Haven,Xyz,N/A,N/A,First,Approved
164,,International Business,N/A,Minnesota State University,Father,N/A,N/A,First,Refused
165,,PhD,PhD,Oregon State University,Fully Funded,Stipend + Graduate Assistantship,N/A,N/A,N/A
166,,Electrical and Computer Engineering,Bachelors,University of Arizona,Father,N/A,No,Second,Approved
167,,Graduate Program,Masters,Bard College,Self,Yes,N/A,N/A,N/A
168,,Information System,Bachelors,Adelphi University,Father,N/A,N/A,First,Refused
169,,Double Major in Economics and Business Administration,Undergraduate,University of South Dakota,Father,Partial Scholarship,N/A,Second,Rejected
170,,Structural Engineering,MSc,University of Texas at Austin,Uncle,N/A,Uncle,First,N/A
171,,Construction Management,Masters,University of North Texas,Father,N/A,N/A,First,Approved
172,,N/A,N/A,Cleveland State University,N/A,N/A,N/A,2,Refused.
173,,Public Affairs,Masters,"Indiana University, Bloomington",N/A,Yes,Yes,First,Approved
174,,Computer Science,Masters,MIU,Self,N/A,N/A,First,"Rejected

To improve in the second attempt, you should provide more concrete reasons for choosing the university and the course. You should also provide a more detailed plan for how you will pay for your education and living expenses. Listing yourself as the sponsor is not necessarily a weak point, but you should be prepared to provide evidence of your financial ability to support yourself during your studies."
175,,Public Administration,Masters,Central Michigan University,N/A,N/A,N/A,First,Refused
176,,Computer Science,Bachelors,Adelphi University,N/A,N/A,N/A,Second,Refused
177,,Chemical and Biomolecular Engineering,PhD,N/A,N/A,N/A,N/A,First,Approved
178,,Computer Science,Masters,University of the Pacific,Father,N/A,N/A,Second,Approved
179,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
180,,Professional Accountancy,Masters,N/A,Father,N/A,Yes,First,Approved
181,,MS Finance,Masters,Illinois Institute of Technology,N/A,Merit Scholarship,N/A,2nd,Refused
182,,Computer Science,Masters,Canada and America,Fully Funded,Yes,N/A,N/A,N/A
183,,MBA with concentration in IT,Masters,University of the Potomac,Father,50%,N/A,First,Rejected
184,,N/A,N/A,N/A,Partner,N/A,N/A,First,Approved
185,,Mechanical Engineering,Masters,University of Cincinnati,Father,$20k,N/A,First,Approved
186,,Phd Environmental Science,Phd,University of Idaho,Father,University and Professor,N/A,First,"Refused (initially), Approved (after further questioning)"
187,,N/A,N/A,University of Central Oklahoma,Father,N/A,N/A,Second,Refused
188,,Data Science,N/A,Stevens Institute of Technology,and Student Loan,Yes,No,First,Approved
189,,Marketing,Bachelors,DePaul University,Father,Yes,N/A,First,Approved
190,,Business Analytics,MS,N/A,N/A,N/A,Yes,First,Approved
191,,N/A,N/A,UIC,Father,N/A,N/A,First,Refused
192,,Electrical Engineering,Masters,"California State University, Northridge",Brother-in-law,Yes,Father (deceased),First,Refused
193,,Civil Engineering,Masters,University of Texas at Austin,Uncle,N/A,Uncle,First,Approved
194,,Engineering Management,Masters,N/A,Landlord/Business Owner,N/A,N/A,First,Refused
195,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,No,First,Approved
196,,Electrical,MS,University of Missouri Kansas City (UMKC),Father,N/A,Maternal Uncle,First,Approved
197,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,No,First,Approved
198,,HR Management,Masters,Northeastern University,Father,N/A,Brother,First,Approved
199,,Computer Science,Bachelors,Tennessee Tech University,Father,N/A,N/A,First,Refused
200,,Civil Engineering,PhD,University of Kansas,N/A,Yes,N/A,First,Approved
201,,Health Care Administration,Masters,University of Potomac,Aunt,N/A,Aunt,Second,Refused
202,,N/A,N/A,N/A,N/A,N/A,N/A,Fourth,N/A
203,,N/A,N/A,N/A,N/A,N/A,F2,First,Refused
204,,Masters,N/A,Top 20 Grad Program,Uncle and Aunt,Dean's Scholarship,Uncle and Aunt,Third,Approved
205,,N/A,N/A,N/A,N/A,Full scholarship,Brother,First,Refused
206,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending
207,,N/A,N/A,N/A,Applicant,N/A,Spouse and Children,First,Approved
208,,MBA,N/A,N/A,Self,Financial Aid,No,First,Approved
209,,Computer Science,Bachelors,Rhodes College,Father,40k,Brother,First,Approved
210,,Criminal Justice and Law Enforcement Administration,Masters,University of North Alabama,N/A,N/A,N/A,First,Approved
211,,F2,N/A,N/A,N/A,N/A,N/A,First,Administrative Processing (AP)
212,,MSCS,Masters,N/A,N/A,N/A,N/A,2,Refused
213,,N/A,N/A,Cleveland State University,Cousin,N/A,N/A,First,Approved
214,,PhD,N/A,University of Florida,Fully Funded,N/A,Spouse,N/A,N/A
215,,BSCS,N/A,St. Cloud State University,Father,"$7,906 ",N/A s,3,Rejected
216,,IT,Masters,Pace University,Father,Yes,No,Second,Approved
217,,Civil and Environmental Engineering PhD,PhD,Rowan University,Graduate Assistantship/Fellowship,Yes,N/A,First,Approved
218,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
219,,PhD,PhD,Told,University,Fully funded,N/A,Renewal,AP 221g
220,,N/A,N/A,DePaul University,Employer,N/A,N/A,First,Refused
221,,Computer Science,Masters,DePaul University,Parents,N/A,Two sisters,First,Approved
222,,MBA,N/A,Kentucky State University Frankfort,Parents,N/A,N/A,Second,Refused
223,,Computer Science,Community College,Highline College,N/A,N/A,N/A,First,Rejected
224,,Construction Management,Masters,University of North Texas,Father,N/A,N/A,First,Approved
225,,MBA in Marketing,Masters,New Mexico Highland University,Uncle,N/A,Brother,First,Approved
226,,Human Resource Management,Masters,University of Texas at Arlington,Uncle,N/A,Father's sister's husband,Second,Approved
227,,Master,N/A,Saint Paul State University,Self,N/A,Cousin,First,Rejected
228,,Postdoctoral Research,N/A,N/A,University,N/A,N/A,First,221(g) Refusal
229,,MBA in Global Affairs,Masters,Bay Atlantic University,Father,N/A,N/A,First,Rejected
230,,Business Administration,Bachelors,Youngstown State University,Uncle,N/A,Uncle,First,Rejected
231,,N/A,N/A,N/A,N/A,N/A,N/A,Third,Approved
232,,Electrical and Electronics Engineering,Masters,Lamar University,N/A,Out of state waiver,N/A,First,Refused (214b)
233,,Civil Engineering,Masters,University of Texas at Arlington,N/A,N/A,Brother on F1 Visa,Second,Approved
234,,N/A,N/A,N/A,Father,N/A,N/A,First,Refused
235,,Civil Engineering,Masters,Lamar University,Father,Merit,N/A,First,Approved
236,,Bachelors,N/A,"University of Alabama, La Roche University",Uncle,14k USD per year,Uncle,Third,N/A
237,,CS,Masters,Florida State University,Brother,N/A,Brother,First,Rejected
238,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,N/A,First,Refused
239,,Computer Science,Bachelors,Queens College NY,N/A,N/A,Brother,Second,Refused
240,,F2 Visa,N/A,N/A,N/A,N/A,N/A,First,Rejected
241,,Flight School,N/A,N/A,Father and Cousin,N/A,No,2,Refused
242,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
243,,Electrical Engineering,Masters,N/A,Father,Yes,No,First,Approved
244,,Business Administration,Bachelors,University of Utah,Family,"$35,000 ",N/A,First,Rejected
245,,Masters,N/A,N/A,Husband,N/A,Father-in-law,First,Refused
246,,MPA,Masters,University of Michigan-Flint,Uncle,N/A,Uncle,First,Refused
247,,Civil Engineering,MS,N/A,Father,Research Assistantship,N/A,First,Approved
248,,IELI,N/A,University of North Texas,Brother-in-law and Mother,N/A,Sister,First,Refused (214b)
249,,N/A,N/A,N/A,N/A,Fully funded or strong financial sponsorship,Immediate family members,N/A,N/A
250,,Business,Bachelors,South Dakota State University,Father,N/A,None,First,Refused
251,,Business Administration and Management,Bachelors,Minnesota State University,N/A,N/A,N/A,First,Refused
252,,Law,Masters,University of California Davis,Father,N/A,N/A,First,Administrative Processing (Blue Slip)
253,,Civil Engineering,Masters,Virginia Tech,Father,N/A,Extended family,First,Approved
254,,MBA,Masters,University of Bridgeport,Husband,Yes,N/A,First,Refused
255,,MS Biological Sciences,Masters,New Mexico Highlands University,Father,N/A,N/A,First,Approved
256,,CS,N/A,USF,N/A,"12,000 USD",Father,First,Approved
257,,Mechanical Engineering,Masters,University of New Haven,N/A,Pending,N/A,N/A,N/A
258,,N/A,N/A,N/A,Father,41k$,Brother,First,#VisaRefused
259,,Masters,Masters,Bard College,Self,Partial Financial Aid,N/A,N/A,N/A
260,,International Business,Bachelors,Minnesota State University,Mother,N/A,N/A,First,Refused
261,,Business Administration,Bachelors,DePaul University,Cousin,N/A,N/A,First,Approved
262,,Civil Engineering,Graduate,University of Alabama,Father,Graduate Assistantship,N/A,First,Approved
263,,Electrical and Computer Engineering,Masters,Illinois Institute of Technology,N/A,N/A,N/A,First,Refused
264,,Computer Science,Bachelors,Rhodes College,Father,40k,N/A,First,Approved
265,,Business Administration,Bachelors,Murray State University,Father,N/A,N/A,Second,Refused (first attempt)
266,,Computer Sciences,Bachelors,University of Pacific,Father,N/A,"Paternal Uncle, Grandparents, Dada Abu, Dado Ami",Second,Refused
267,,N/A,N/A,N/A,N/A,N/A,Wife,First,Refused
268,,N/A,N/A,N/A,Father,N/A,N/A,First,Refused
269,,Public Health,Masters,University of New Haven,Father,N/A,N/A,First,Approved
270,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
271,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused (previous attempt)
272,,Computer Science with Information and Communication Technology,Masters,Old Dominion University,Uncle,N/A,Brother-in-law,Second,Refused
273,,Structural Engineering PhD,PhD,Caltech,N/A,Fully funded,N/A,First,Approved
274,,N/A,N/A,N/A,N/A,N/A,N/A,First,Approved
275,,MS Digital Supply Chain Management,Masters,California State Uni Pomona Campus,Father,N/A,N/A,Third,Refused
276,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Administrative Processing
277,,N/A,N/A,N/A,N/A,N/A,Friend,First,Refused
278,,Mech and Aerospace Engineering,N/A,N/A,Father,N/A,N/A,First,Approved
279,,PhD,N/A,University of Kentucky Lexington,N/A,N/A,N/A,N/A,N/A
280,,N/A,N/A,N/A,Father,N/A,N/A,Second,Approved
281,,Postdoc,N/A,"University of Washington, Seattle",Postdoc Supervisor,N/A,Spouse and Toddler,First,Approved
282,,Ph.D.,N/A,Michigan State University,N/A,Fully Funded,N/A,First,Administrative Processing
283,,Cinematography and Film/Video Production,Bachelor's,University of Missouri-Kansas City,Father,N/A,Sister,First,Approved
284,,MS Civil Engineering,Masters,"University of Washington, North Carolina State University, Iowa State University",N/A,N/A,N/A,N/A,N/A
285,,N/A (not mentioned),N/A (not mentioned),Mississippi State University,Father,100%,None,N/A (not mentioned),N/A (not mentioned)
286,,CS,Bachelors,USF,Family,12k USD/year,N/A,N/A,N/A
287,,Computer Science,Bachelors,Adelphi University,Father,N/A,Mother,First,Refused
288,,Data Sciences,Masters,XYZ University,N/A,N/A,N/A,Second,Refused
289,,Project Management,Masters,"Northeastern University, Boston",Father,N/A,N/A,Second,Approved
290,,MBA,Masters,"Cornell, University of Texas Austin Mccombs, Michigan Ross",N/A,N/A,N/A,N/A,N/A
291,,Computer Science,Bachelors,Minnesota State University Mankato,Father,45%,N/A,First,Approved
292,,PhD,Doctoral,Oregon State University,University,Yes,N/A,First,N/A
293,,Mechanical Engineering,Masters,Cleveland State,Father,N/A,N/A,Second,Refused
294,,N/A,N/A,Drexel University,Father,N/A,No,First,Approved
295,,Civil Engineering,Masters,Texas Tech University,Father,50%,N/A,First,Approved
296,,Biomedical Engineering PhD,PhD,The Ohio State University,Research Associate Position,Fully Funded,N/A,First,Approved
297,,Mechanical Engineering,Masters,University of Pennsylvania or University of Illinois at Urbana Champaign,N/A,N/A,N/A,N/A,N/A
298,,Computer Science,Masters,Maharishi International University,Self,Yes,N/A,First,Refused
299,,N/A,N/A,DePaul University,Employer,N/A,N/A,First,Refused
300,,ECE,BS,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle,Third,Refused
301,,N/A,N/A,N/A,N/A,N/A,Engaged to US Citizen,First,Rejected
302,,Observership,N/A,N/A,Father,N/A,N/A,First,Approved
303,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refused/Unknown
304,,Business Administration,Bachelors,University of South Alabama,Father,N/A,Sister in Spain,Third,Approved
305,,Information Technology,Masters,University of Cumberlands,Brother,N/A,"Brother, 2 sisters",First,Approved
306,,Exchange Visitor Research,N/A,University of Michigan Ann Arbor,HEC,Fully funded,Distant relatives and husband's brother in US,First,Approved
307,,International Business,BS,"University of Minnesota, Mankato",Father,$8k,Brother,First,Approved
308,,MBA,N/A,N/A,Father-in-law,N/A,N/A,First,Rejected
309,,Civil Engineering,Masters,University of Dayton,Father,N/A,Yes,First,Approved
310,,Business,F-1 Univsersity,Hult International Business School,N/A,N/A,N/A,First,Approved
311,,Pathway,N/A,UCF,Brother,N/A,N/A,Second,Refused
312,,Information Technology,Bachelors,N/A,Father and,14000 USD per year,One younger brother,Second,Refused
313,,General Studies,N/A,Loyola,N/A,N/A,N/A,First,Approved
314,,Power Engineering,Masters,IIT Chicago,Father,N/A,"2 Brothers, 2 Sisters",First,Approved
315,,Computer Science,Bachelors,Queens College NY,N/A,N/A,N/A,Second,N/A
316,,MS in Information Technology,Masters,Gannon University,Father,N/A,N/A,Second,Refused
317,,Psychology PhD,PhD,Not mentioned,N/A,N/A,N/A,First,Approved
318,,Business Analytics,Masters,Mercer University,Self,N/A,Father,First,Refused
319,,Computer Science,Masters,University of North Carolina Charlotte,Father,N/A,N/A,First,Rejected
320,,Computer Science,Bachelors,Minnesota State University Mankato,Father,45%,N/A,First,Approved
321,,N/A,N/A,N/A,Self,N/A,No,First,Refused
322,,Economics,N/A,Illinois State University,N/A,N/A,N/A,First,Approved
323,,Engineering,Masters,University of Cincinnati,Father,20k,N/A,First,Approved
324,,Business,Masters,University of Cincinnati,Father,20k,N/A,First,Approved
325,,Information Technology,Masters,University of Cincinnati,Father,20k,N/A,First,Approved
326,,Physics,PhD,University of Cincinnati,University,Assistantship,N/A,First,Approved
327,,Civil Engineering,Masters,Arizona State University,Father,N/A,N/A,First,Refused
328,,Engineering,Masters,University of Houston,Father,N/A,N/A,First,Approved
329,,MBA,Masters,Gannon University,Self,N/A,N/A,First,Refused
330,,Chemical and Biomolecular Engineering,Masters,North Dakota University,,Assistantship,N/A,First,Approved
331,,Electrical Engineering,Masters,University of Southern California,,10%,N/A,First,Approved
332,,Computer Science,Bachelors,Dayton University,Father,N/A,Brother,Second,Refused
