,Text
10,"
Visa Status: Accepted
Uni: Ohio state university 
Program: PHD ( adolescent post secondary and community literacies)
Date: 22nd May 2022
Visa Type: F1 and F2 together
VO: 
Good Morning
Me: Good Morning
VO: Pass me your passport and I-20
Me: Sure 
VO: Put your right hand 4 finger on the scanner
Me: Ok
VO:  Last time you went for masters, are you going for phd ? 
Me:yes
VO: what is your program?
Me: Its adolescent post secondary and community literacies
VO: Is it fully funded.
Me: yes , its fully funded and i have got assistantship as well. My tution fee and expense are covered.
VO: ok
VO to F2: sir what you gona do there?
F2: Well last time i went there i made lot of friends, i gona do the same this time. I have established buisness here so i ill be looking to involve in community and make new connections.
VO: But remember you cannot work on F2
F2: yea, i know that.
VO: ok i am approving visas for both of you, best of luck and have a nice trip.
We: Thanx , have a good day.
"
11,"
Anyone here got visa accepted with IIT-Chicago MS program? Please comment
"
12,"
I got accepted into a kind not well-known state university(not very diversed , predominantly white ) they gave me a 12k a year scholarship. A 75% off the first semester. The total fees are around 21k$ a year for a master’s in CS. There is also 13k for room & board, supplies. They said I need to take the GRE before the end of the first semester. I know the decision is mine, but does it worth it if the university is ranked low ? How  likely are they to add more $ to the current 
scholarship if I request it? Thanks
"
13,"
Date: 23rd of may
Location: Ankara 
Status: Alhamdulilah Approved 
Interview:
Note: I had a prior refusal 6 months ago, it was my second time.
Officer: Why do you wanna go to USA?
Me: Well officer I want to go to pursue my bachelors degree in business administration, I applied for two universities and got accepted from both of them plus received scholarship. But the reason I chooses this degree, my uncle graduated from the same degree from uk now he is working in United Nations as regional administrator. I basically want to follow his career path.
Officer: ok who is sponsoring you?
Well first I received a scholarship from the university and my parents are doctors we have private clinic and private pharmacy additionally we have XYZ amount of property. Beside if necessary my uncle is also sponsoring me so I have a very stable financial situation.
Officer: do you have any relatives in us.
Me: no 
Officer: you sure any cousin?
Me: yeah I have but I lost contact with them many years ago.
Officer: OK
Why your family don’t wanna go to the USA.
Me: cause they have property and business.
Silent for a minute:
I want to start again:
Me: actually,………
Officer: smiled. Wait calm down. It’s enough.
Congratulations your visa is approved.
Note: Alhamdulilah my visa was approved.
Trust Allah and recite لا یستوی Ayat before interview and inshallah you will get your visa.
Always  trust Allah. 
If you guys have any questions. I’m gladly here to help.
"
14,"
I would like to know if anyone's visa got accepted for MIU - Maharishi university, What I have seen most of the posts are for refusals, is there anyone who got accepted as well?
"
15,"
Dear @All
I need urgent guidance. I was recently accepted for fully funded Ph.D. position. My program joining date is 1 June.  My appointment date is 19 May 2023. 
I would appreciate your advice on whether it would be appropriate for me to apply for an emergency appointment or if my current appointment date is OK.
Kindly let me know your help will be highly appreciated.
Kind Regards
"
16,"
I got accepted in University of New Haven for MS mechanical Engineering 2022 Fall.
The university has emailed me the acceptance letter only. They said that in 7-9 days, I’ll be informed whether I got the scholarship or not.
They asked me for the Financial documents like band statement and affidavit to proceed with my I-20.
My 
question to this group is that:
What will be the process after I get my I-20?
I have zero idea about it.
Please guide.
"
17,"
So I got my Visa accepted today and here is my experience
I had a 10am appointment but it exceeded till 11. Khair there were so many rejections that i saw in front of me while i was standing in the que. I got admission in Mercer University in Atlanta
Interviewer: What course are you going for?
Me: Masters in Buisness Analytics
Interviewer: Are you currently doing any job?
Me: 
No sir i have just been graduated in September
Interviewer: Who is going to pay for studies?
Me: My father
Interviewer: What is his profession?
Me: He is in a Mangerial position in a reputable Hospital in Karachi (Bank statement given along with bank Maintenance)
Interviewer: Which hospital?
Me: *answered*
Interviewer: Is any of your brother or sister in US?
Me: No sir
Interviewer: What are your plans after this degree?
Me: With a foreign degree and a couple of years experience i want to come back to my country and appoint as buisness Analyst in a Multinational Company
Interview: Your visa is approved
Me: Thankyou
"
18,"
Hi All,
I've recently accepted a Job offer in Boston and will be moving there by end of July/ Early August from Pakistan. My visa has also been approved. 
I'm looking to connect with students and other professionals that are looking for roommates / share accomodation and also any suggestions on where to live. 
Depending on the place, my budget is upto $2000/ Month, although I'd prefer it to be lower than that.
Thank you!
"
19,"
Hello and Eid Mubarak!
I'm planning to go for my post-grad studies this Fall-23 and have been accepted by the University of San Francisco in their Energy Systems Program. The University has offered me a $10k scholarship for the whole academic year, and the rest will be funded through student loan (cos I don't want to use my PKR savings to fund my studies). 
Total per annum expenses are (incl. living, and other expenses) $50k. (I will be showing proof of funds of around 30k; 20k 
savings account and 10k scholarship)
My questions from the community are:
1) would there be any issue in the F1 visa processing? 
2) Do i need to show complete Proof of Funds of $50k? Or should i tell them that part of the cost will be funded through student loan?
3) I'm funding my education from my own savings. My family won't be supporting me (coz they don't have that much money or source of income). I have 6 years of professional working experience. 
Your help is highly appreciated. Thanks in advance.
"
20,"
Hello, 
I'm in urgent need of guidance. 
AlhamdulliAllah, I have been accepted to Carneige Mellon University for a Masters in Public policy and Management with a 40% tuition scholarship. But I'm still concerned about paying for the reminder of my tuition. I come for a middle-class family and my parents cannot afford it due to the volatile USD/PKR exchange rate. 
Can someone please guide on what should I do? or help me find any external funding? 
Is 
it a wise to opt for a student role?
I'll appreciate your response!
"
21,"
Visa interview
Islamabad
Texas A&M university
5th Aug: 11:30am
Vo: Hello
Me:hello sir 
Vo: i need u to do your finger prints. (Messed up with left hand once)
Me:done
Vo: alright pass me those documents.
Me: here
Vo: so why are you going to the Us?
Me: I'm going to pursue my bachelor's degree in health sciences at texas a&m university.
Vo: how many universities did you apply to?
Me: about 13 universities, I got accepted from a few.
Vo: and which ones did u get accepted from?
Me: i got accepted from the university of Hartford, texas a&m and university of---uh and I had a correspondence with the Baylor university.
Vo: ok, so why did you choose this university?
Me: well it has quite good ranking regarding my course, its listed as the 28th best medical university in terms of health care management and in biological scien---
Vo: alright so do you have any relatives in the Us?
Me: Yes, an uncle of mine lives there with his family.
Vo: where do they live?
Me: Irving (accident said the old address)
Vo: California?-- what state?
Me: no not California, its in Dallas at Texas.
Vo: alright and what does he do?
Me: his work is associated with transport but I don't really know much about that.
Vo: oh okay, so whose going to sponsor you?
Me: my father will
Vo: and what does he do?
Me: told
Vo: (going though my docs) have you ever been to the Us before?
Me: yes, twice
Vo: okay. (Keeps typing and looking through stuff for about a minute or two).
Vo: alright, I'm approving your visa, but we'll be keeping your passport for further processing. You will receive it within 1-2weeks.
There were some 30 candidates I saw that day and out of them only 2 girls & me myself got approved. One common thing between me and one of those girls was that we both had been to the Us before. Me twice for visiting and her for her bachelors(now going for masters I believe).
"
22,"
I have been accepted at ""University of Nebraska Lincoln"" for spring 2023 semester.
Is there anyone here who is at this university or planning to attend it?
"
23,"
Profile:
Name: Saim Qadeer
Previous Degree: BS. Mechanical Engineering
CGPA: 3.54
University: The University of Lahore
Universities Applied In US.
1) University of Illinois Chicago, UIC
Status: Admission Accepted
2) Illinois Institute of Technology, IIT
Status: Admission Accepted
3) Lewis University, LW
Status: Admission Accepted
4) Virginia Commonwealth University, VCU
Status: Admission Accepted
Visa Experiences:
Try One: (April 2019) Visa Denied
Visa Officer Was Aged Man almost 45+ Years of age with long hair.He Rejected 3 F1 Visas before me.
VO. Hello How Are You?
Me. I am fine thankyou for asking.
VO. Please Pass Me Your I-20 and Passport
Me. Did So.
VO. Have you paid Sevis Fee?
Me. Yes
VO. Which University?
Me. University of Illinois, Chicago
VO. Whats Your Course?
Me. MS. Mechanical Engineering
VO. What will you do after MS.
Me. I will be working in NESPAK as Junior Engineer.
VO. Okay ( Started Typing Something On Computer)
After 2 Minutes
VO. Sorry I Can't Issue A Visa At This Time and Handed 214b Yellow Paper.
Me. THANK YOU!
He Didn't even checked my single document.
Try Two: (July 2019) Visa Granted
Visa officer was between 25 to 30 years of age. Fresh looking Young Man, Cleaned Shaved with a smile on his face.He Approved 1 F1 and 2 Visit Visas Before Me.
VO. Hello How are You Doing?
Me. I am fine (With a Smile)
VO. Pass Me Your I-20 and Passport
Me. Did So.
VO. Have you paid Sevis Fee?
Me. Yes
VO. Which Univeristy?
Me. University of Illinois Chicago
VO. What! You Didn't Even Know Your University's Name?
Me. Sorry, Its Illinois Institute of Technology, with a light smile, talking seeing directly into his eyes.
VO. You applied for UIC last time. What is Changed Now?
Me. Started Telling Him the Story I learned by heart, the night before. But it was true. Never Lie.
VO. Where did you get your BS.?
Me. The University of Lahore
VO. What Will You Do After Masters?
Me. Again Started The Story I learned for this Question.
VO. Who will pay for your study?
ME. My Father
VO.What Does He Do?
Me. To the point answer
VO. Show Me Your Bank Statement
Me. Yeah Sure!
( After taking a complete look at the property papers, bank Statements, Affidavit of Support E.T.C
VO. Whats Your Father Name?
Me. To the point answer
VO. What does he actually do?
Me. I was little bit confused as he asked this question second time but explained my father's profession to him in detail.
VO. Started Typing on Computer
VO. Okay I am approving your Visa. Study hard in US. And Make your Country and Parents Proud!
Me. Thank You So Much you made My day!
VO. You're Welcome Have a nice day.
"
24,"
Got accepted Alhamdullilah 
University: Adelphi university NY
Major: physical education and nutrition 
VO just asked two questions
1.Why this university? 
2.Why this subject?
It literally took 2 minutes. Thankyou so much people for your prayers 
"
25,"
I got accepted in MS civil engineering in
1) University of washington (seattle campus)
2) North carolina state university 
Can anyone guide me which university is good for MS Civil Engineering I'm totally confused
"
26,"
F1 Visa Interview Experience
Embassy: Islamabad
Status : Approved
Applied by myself
After greeting, VO said my name and I nodded in response
Why are you going to US
I'm going for studies
You're going to Harvard. Great. What are you going to study?
Differential equations
Differential equations?
Yes, my concentration is differential equations although it says liberal arts on the document.
Why do you want to study these?
I'm a teacher and need to learn them so I can teach it to my students.
How was the application process?
(VO was asking about admission application and I thought he meant visa application) Most people said I should get an advisor or counsellor but I did it myself, didn't find it very complicated.
(VO interrupted) 
Did you apply and get accepted for it or just signed up?
I had to apply and go through the admission process.
OK. How do you plan to pay for it?
From my savings.
How much  do you have?
I shared the amount.
Are you married?
Yes
Any kids?
No.
Is your wife going with you?
No she's not. (I wanted to explain why, but didn't)
Have you changed your name before?
No, I haven't.
OK. It says you were Akmal (not real name) before?
My family calls me that endearly. It hasn't been my official name. 
OK I'm approving your visa. You'll get your passport in some days.
I asked how long it will take and he said its on the blue slip.
VO kept typing throughtout these questions and there were long pauses between questions. He didn't ask me for any supporting documents apart from the usual sevis fee, visa fee, DS 160 and Passport.
I was very nervous because he refused 3 people before me and only one approval. At the last minute I told myself that this person is a gatekeeper and I have to go to US nomatterwhat. I focused on why I was there and where I wanted to be, instead of focusing on people around me. Confidence is key. He could have refused me for my ans to last question but I clarified and was confident which I think helped.
ایسا لگ رہا ہے جیسے برسوں کا بوجھ ہٹ گیا ہو۔ 
I was refused visa for UK 4 years ago despite having an offer from University of Cambridge and it took me 3 years to save the money for this program.
I'd like to thank Tahir Haneef for helping me clear my doubts and for questions I had. I'd also like to thank you all for this group and the moderators. I did multiple mock interviews using different questions from previous posts here.
BTW nobody tells you about the whole gruesome process of going to shuttle stop, the exorbitant fee for it, multiple queues and security checks. The embassy building is daunting. Also, from the moment I stepped out of embassy to until I left the shuttle stop, every person I met asked me for mithayi after seeing the blue slip. I hope our workers learn some self respect and stop the begging.
#visaapproval
"
27,"
Hello Everyone, 
I got accepted in WP Carey (arizona state university), Utah & Umass Amherst for MSBA program. 
Which university should be preferred?
Any alumni from these universities?
"
28,"
Hello, I am sharing my visa office experience:
Embassy Islamabad 10 PM
Status: Refused.
As far as I have seen, everyone got accepted today in front of me. and VO was in the good mood.
Meeting:
Me: Good morning.
VO: Good morning, how are you doing?
Me: I am good.
VO: Pass me the strapped documents. (The documents on which they place the rubber band)
Me: Sure.
VO: Wow, Depaul University, nice.
Me: Yeah.
Vo: Typed for a minute.
Vo: Who's sponsoring you?
Me: what?
Vo: Whos sponsoring you?
Me: My Employer.
Vo: Congratulations, your visa is approved. Welcome to the States. (Hands me both the blue slip and the white slips with section 221(g))
Vo: You will get an email today with some additional information after that mail the passport to the visa office.
Conclusion: I am confused and waiting for the email reply.
The questions are in the screenshot.
hIpyrKXFQ3.com
Aseem
Hello, I am sharing my visa office experience:
Embassy Islamabad 10 PM
Status: Refused.

As far as I have seen, everyone got accepted today in front of me. and VO was in the good mood.
Meeting:
Me: Good morning.
VO: Good morning, how are you doing?
Me: I am good.
VO: Pass me the strapped documents. (The documents on which they place the rubber band)
Me: Sure.
VO: Wow, Depaul University, nice.
Me: Yeah.
Vo: Typed for a minute.
Vo: Who's sponsoring you?
Me: what?
Vo: Whos sponsoring you?
Me: My Employer.
Vo: Congratulations, your visa is approved. Welcome to the States. (Hands me both the blue slip and the white slips with section 221(g))
Vo: You will get an email today with some additional information after that mail the passport to the visa office.

Conclusion: I am confused and waiting for the email reply.

The questions are in the screenshot.
"
29,"
Vissa status : Rejected F1 vissa 
Counter # 6 VO seems Korean 
Date : 21 march 
VO: Why are you going Usa?
Me: 
to do my bachelors degree in computer science.
VO:why only USA? 
Me: well,it is most popular destination for international students.as you can’t compare the quality of education of US to any other country specially when it comes to it sector.it’s graduates are highly demanded all over the world.
VO:How did you got your admission in the university?
Me:I uploaded my academic documents in the university portal and got accepted from them,Got my I-20 . 
VO:Have you ever visited outside pakistan ?
Me:No
VO: how many universities did you apply ?
Me: 3
VO: and how many accepted you?
Me: 2 of them 
VO:why did you specifically choose Wright state university?
Me: I chose Wright state bcz of its computer science college and course curriculum,They provides the most advance courses and provides a lot of internship opportunities to there students.Moreover I got an scholarship of around $28k So I would be glad if I got a chance to avail the scholarship.
VO:who is going to sponsor you?
Me:my mother.
VO:what does she do?
Me:She is a business women,She owns a school.
VO: Sorry you are not eligible.
I don’t where I went wrong or may be my answers were not well. and what if I apply for 2nd attempt? Does students get the vissa in their 2nd 3rd attempt?
"
30,"
B1/B2 visa interview
Date: 2nd May 2023
Status: Approved
VO: Why you want to visit USA. 
Me: 
I am a Phd doctor and my research article has been accepted for oral presentation at ———— conference to be held on (date mentioned) in princeton NJ-USA. 
VO: do you have the acceptance letter. 
Me. Yes(provided)
VO: what is the title of your research article and what are the results 
ME: told
VO: you are a PhD in finance and working at —— university in pakistan? 
Me: yes I am working as Assistant Professor since 2014 and teaching and supervising MS and PhD students. 
VO: what subjects you are teaching? 
Me: told( she smiled and mentioned a subject that this was very difficult one for me during my studies) 
VO: who is your sponsor?
Me: the higher education commission of Pakistan(provided the approval letter). 
VO: We will ask you through email to provide some additional documents required. Passport retained by her. 
Me: sure Ma’am, thank you very much. 
Checked the online status of Visa next day where visa was Issued on 3rd May without asking for additional documents. 
Alhamdulillah received passport on 5th May with USA Visa.
"
31,"
I applied for Master in Data Science program in these universities and my application has also accepted from all of these universities,
1 = Illinois institute of technology, Chicago
2 = American university Washington dc
3 = Florida Atlantic university
4 = University of the Pacific california
Now 
I am confused as to which University should I select for this program. Because I wanted to select the university out of these which has the best learning environment and the best scope related to jobs in the future. If anyone has any knowledge of which university has the best scope for data science out of these four universities, kindly please let me know, so that I can start all further procedures related to my visa as soon as possible.
"
32,"
I got accepted to USF(bachelors in CS) with about 12k USD scholarship/year. However, my family, at most, can contribute upto 5k USD per year. The total cost per year is about 32k USD, is it manageable to cover the rest of the costs with part time job?
P.S: I also will have to maintain my GPA to keep my scholarship valid for 4 years.
"
33,"
University comparison between University of Saint Louis and Unuversity of Louisiana. I got accepted into both for Masters in Computer Science.
Saint Louis:
Fee: 50,000$
University of Louisiana:
Fee: 16,000$
Scholarship: 5600$
Graduate Assistant ship in Summer.
Which is a most feasible for me to apply visa?
"
34,"
I got accepted in MS civil engineering  program in the following universities 
University of washington ( seattle campus) 
North carolina state university 
Iowa state university 
I'm confused which university to choose as three of them are very good. Can any student or Alumni from these universities mentioned above guide me?
"
35,"
Dear All,
Is there anyone from Southern Illinois University,Edwardsville. 
I have been accepted there for the Industrial Engineering Program with a scholarship of worth 15000$ for two years.
Need 
to get some info regarding the university,living,rent and other expenses in order to evaluate my budget. 
Considering the fact that I have also been accepted in Concordia University,Canada. What will be the best option in terms of job and Visa ratio of USA?
"
36,"
Hello everyone,
I have accepted for phd at Virginia Tech University Blacksburg, however,  I'm confused about getting i-20 from University. If someone from Virginia tech university please let me know.  Thanks
"
37,"
Hi there, I want to know that does it hurt my chances to get get the F1 visa if I got accepted in a bit low rank university (Southern Illinois University, edwardsville) due to my low GPA, given that I have already visited USA in 2017 and have a valid tourist visa for USA. 
Thanks!
"
38,"
Anyone got accepted to California state university, fresno?
I got accepted for fall, aug 22.
Major: computer science.
I am preparing myself for interview these days.
Any suggestions or tips would be greatly appreciated 
"
39,"
VISA EXPERIENCE
VO: Hey. How're you doing?
Me: I'm good. How's your day going?
VO: It's been real busy. So where are you going?
Me: 
I'm going to California. (Handed over my passport and I-20)
VO: Great. So what's your Major?
Me: I'll pursue my Masters degree in Engineering Management.
VO: So you're doing your Masters in Management? Is it MA or MS or MBA?
Me: No Sir it's MS.
VO: Here it's stated on your I-20 that your Major would be Engineering but you're saying Engineering Management. Why that so?
Me: I don't know Sir.
VO: Also learning English would be part of your Pathway Program? You didn't give your English Proficiency test?
Me: No Sir I gave English language test i.e ITep  which was asked by the University.
VO: So you'll study English for how many semesters?
Me: Just 1 semester.
VO: Why this University? 
Me: (Started giving my answer but he interrupted me)
VO: Which other Universities have you applied to?
Me: University of the Pacific
University of South Carolina
University of South Florida
University of Dayton
VO: Got acceptance from all of them?
Me: Yes Sir, just 1 reject for South Carolina. 
VO: I can see there's a huge amount of expenses mentioned on your I-20. How you're going to manage it?
Me: Sir my father would take care of all the expenses.
VO: What does he do?
Me: He works as an architect engineer at ministry of defense and architecture Riyadh Saudi Arabia.
VO: Is he a government employee?
Me: Yes
VO: What's his position?
Me: Senior engineer
VO: What I meant was what's his scale 17th, 18th or 19th?
Me: There's no scale system in Saudi Arabia.
VO: I'm sorry I didn't heard the Saudia part.
VO: So where's your family?
Me: They're currently in Saudia.
VO: So you live here alone?
Me: Yes Sir for now.
VO: When did you graduate?
Me: Last year. September 2018
VO: What are you doing since then?
Me: I did few internships related to my field and then I started my own animation house.
VO: Alright. Please give me 1-2 minutes.
Me: Do you need to see my bank statement?
VO: No that won't be needed.
Me: Sir I've been preparing for this attempt for too long and its been a really tough journey. 
VO: (Smiled and didn't say a word)
Then finally VO: I'm going to give you a good news then, YOUR VISA IS ACCEPTED. Have a good time in US. (Handed me a blue slip)
Me: Thank you so much Sir. I can't tell you how much this means to me. 
(Then I left the consulate and got me passport in the next 2-3 days) 
Best of luck to everyone who are going to apply for the VISA in the coming time. The only key thing is your confidence, so have faith in ALLAH (S.W.T) and everything would be fine.
"
40,"
Assalam o Alikum, everyone.
I have some queries about B1 Visa. As my abstract is accepted for oral presentation at ASM IMAT 2023 conference and i also got travel grant from ASM. Is someone been through this situation? Is there good chances of getting visa? I am currently in germany studying  masters. I need some help for filling  up my ds 160 form.
Best regards
"
41,"
Hi Friends.
I have been accepted into PhD at Middle Tennessee State University (MTSU) .
Please advise that how is ranking of this university and reputation.
Our classe are going to be started on 21st August. 
Please advise do we have available appointment in US Embassy till that date.
Thank
"
42,"
I have been accepted in two universities. 
1. Rutgers-Newark, Masters in Peace and Conflict...Applied by myself
2. University of South Florida, Masters in Political Science...Applied through consultant without any charges but I was fully aware of whole process. 
Which university should I go with? And which has better visa ratio?
"
43,"
I approached  few professors for assistantship for Masters via email, few of them asked me to get accepted in university first by admission committee. I don’t know what does that mean if i get admission so will they provide me assistantships? And yesterday one of the professors really appreciated my work and scheduled a zoom meeting with me on Tuesday to discuss further . My question is how and what should i be asking during the zoom meeting in regards to assistantships?
"
44,"
Need Guidance!
I have been accepted into the following universities for MS in Mechanical Engineering:
1. Clemson University (South Carolina)
2. Illinois Institute of Technology - Chicago
Which one would be the best to go with?
"
45,"
Need suggestion.
I got accepted in Iowa state university and University of South Florida for masters program. Which one is better.
"
46,"
F1 visa interview experience:
Rejected
18 Aug Isb embassy (young lady at right side of long beard guy)
Course: Masters in CS at florida state university.
(after handing over passport)
Vo: why do u want to go to usa
A:USA is the hub of AI and an industry leader in tech and i want to learn from the best of the best
Vo: who is sponsoring your education at FSU
Me: my brother is sponsoring my education, he works as a ME at X company in california and makes around 150k annually
Vo: what does your father do
Me: deceased , my brother has been supporting our family since his demise
Also i have been working as a data scientist for over 3 years in isb.
Vo: since how long is your brother in the usa?
Me:2015
Vo: is he married?
Me : he married in pakistan about 4 years ago
Vo: *thinking*
Me:  your visa is rejected , ( failed to show ties to home country)
Anyways, didnt apply to US again after this and applied for canada through SDS and i got accepted.
If you dont get accepted in US in the first try, rather than begging them in 2nd or 3rd try for a visa , just change your country because some of us are not born with silver spoons in our mouth , nor have any businesses to show ties.
"
47,"
Greetings everyone. 
I have been accepted to a university for undergraduate and now I am preparing for i20 documents such as bank statements. Now the thing is that my dad has most of his money in his parents' accounts. I know that I can easily submit my grandparents' statements and get a form i20. But will that be a problem in visa procwss itself?
"
