,0
10,"
Alhamdulillah by the grace of Allah Almighty and by the prayers of my parents my visa was approved.
￼
My Profile: 
3.38 CGPA - BS Accounting & Finance from IoBM, Karachi. 
IELTS: 7 
5K - 
Scholarship 
Visa status: Approved
University: DePaul University
Program : MS Business Analytics 
Appointment: 17th May 2022
Time: 09:15
Category: F1
(Karachi embassy)
Me: Good morning officer
VO: Pass me your documents.
VO: Why are you going to USA?
Me: To do Masters in Business Analytics.
VO: What it is about? 
Me: It's related to analyzing data using advanced analytical tools to explore insights for businesses. 
VO: Who is sponsoring you?
Me: My Father.
VO: What does he do?
Me: He's in Merchant Navy.
VO: Is your family going with you?
Me: No, I'm going alone. Although my brother lives over there.
VO: When did you graduated and were you working anywhere?
Me: Back in May 2021. Till March 2022 I was working as an Equity Analyst. 
VO: Have you been to USA before?
Me: Yes thrice. 
VO: When was your last trip? 
Me: Back in September 2020.
VO: You didn't renew your visit visa?
Me: No. 
VO: Congratulations your visa is approved. Then passed me the yellow slip. 
Just be honest and confident! 
No deposit was asked for I20. Transcript evaluation was not requested either. 
This group has helped me a lot so let me know if I can help someone.
"
11,"
F1 visa interview experience
Rejected 19 Dec Khi embassy (counter: 03) 
Course: Masters in business administration with a concentration in IT from University of the Potomac.
Good morning officer, how are you?
VO: 
I'm good, what about you?
I'm good, thanks for asking.
VO:why do you want to go to US?
I want to pursue my master's business administration with a concentration in IT
Vo: What are you doing in pakistan?
I am currently working in software house as a software engineer, and do have three year of experience, 
Vo:interrupt you do have good job why you want to leave?
Me: I want to enhance my leadership skill and management skill and want to become product manager in future.
Vo: interrupt how many universities you have applied and got accepted to?
I've applied to University of potomac, concordia wisconison, fitchburg state university
out of these I got acceptance from potomac and concordia, and rejected from fitchburg
Vo: interrupt why this university?
told: 1: because of the course, 2: student teacher ratio 3: almost 50% of the scholarship
Vo: interrupt who's going to manage the rest of the funds?
Me: My father will manage the rest of the funds
Vo: what does he do?
Me: He's a business man, and he do have multiple silk center.........I was still explaning
VO:looking at the screen, sorry you are not eligible for US Visa the reason is mentioned in the slip 214b
Need suggestion:
Do I need to reapply with the same profile in coming days?
"
12,"
Islamabad Embassy
1st Attempt
Date: 14th June 2022
Received my passport back: 16th June 2022
Time: 8 am
Status: approved
(Vo was a white lady)
Academics: Olevels 2A* 6A  B, As level ABB, IELTS 7.5
College: Rhodes college (40k scholarship)
Course: Bachelors in Computer Science
(After scanning of four right hand fingers)
VO: What are your academics?
Me: I have done O levels and Alevels. Currently I have applied for Bachelors in Computer Science at Rhodes college
VO: What other Universities did you apply at?
(Though I applied at many universities 20+, I only chose to tell her some of them)
Me: I applied at Drexel University, DePaul University, Rochester University but none of them had the course content which I aimed for. Object oriented programming with advanced algorithm, Software engineering, Databases and Artificial Intelligence all four of these are part of my course at Rhodes (I was going to mention my professors but she interrupted me).
VO:Do you have any travel experience?
Me: I went to Saudi Arabia for Umrah purposes in 2011 and that’s all.
VO: Who is your sponsor?
Me: My father
VO: What does he do?
Me: told
VO: How many siblings to do you have?
Me: 2 sisters and 1 brother
VO: What does your elder brother do?
Me: (explained about his medical condition)
(After a bit of pause)
VO: What are your plans after graduation?
Me: I will be taking over my dad’s business considering my brother’s medical condition, I am the only one in my family after my dad to look after the business and the family itself.
(After about 5 seconds of typing)
VO: Congratulations your visa has been approved; we will be keeping your passport to print the visa inside.
Overview: I was confident and prepared. I watched a lot of videos over at YouTube to get as much insight about the interview as possible. I prepared a script based on all the common questions they could ask with answers. 
They didn’t check any of my documents other than the ones wrapped with rubber band with the passport.
P7hat2Rchi.com
Aseem
Islamabad Embassy
1st Attempt
Date: 14th June 2022
Received my passport back: 16th June 2022
Time: 8 am
Status: approved
(Vo was a white lady)
Academics: Olevels 2A* 6A  B, As level ABB, IELTS 7.5
College: Rhodes college (40k scholarship)
Course: Bachelors in Computer Science

(After scanning of four right hand fingers)
VO: What are your academics?
Me: I have done O levels and Alevels. Currently I have applied for Bachelors in Computer Science at Rhodes college
VO: What other Universities did you apply at?
(Though I applied at many universities 20+, I only chose to tell her some of them)
Me: I applied at Drexel University, DePaul University, Rochester University but none of them had the course content which I aimed for. Object oriented programming with advanced algorithm, Software engineering, Databases and Artificial Intelligence all four of these are part of my course at Rhodes (I was going to mention my professors but she interrupted me).
VO:Do you have any travel experience?
Me: I went to Saudi Arabia for Umrah purposes in 2011 and that’s all.
VO: Who is your sponsor?
Me: My father
VO: What does he do?
Me: told
VO: How many siblings to do you have?
Me: 2 sisters and 1 brother
VO: What does your elder brother do?
Me: (explained about his medical condition)
(After a bit of pause)
VO: What are your plans after graduation?
Me: I will be taking over my dad’s business considering my brother’s medical condition, I am the only one in my family after my dad to look after the business and the family itself.
(After about 5 seconds of typing)
VO: Congratulations your visa has been approved; we will be keeping your passport to print the visa inside.
Overview: I was confident and prepared. I watched a lot of videos over at YouTube to get as much insight about the interview as possible. I prepared a script based on all the common questions they could ask with answers. 
They didn’t check any of my documents other than the ones wrapped with rubber band with the passport.
"
13,"
Alhamdulillah visa granted in 1st attempt
 visa type : B1/B2
  Embassy  : UAE
  Travel history: NILL 
  Interview: 1 March
Visa 
interview experience
Vo: Hi good morning.
Me : morning. how r u mam.
VO: good ., thank you
so , why you want to visit USA?
Me: I need to attend a training session which is particularly arranged for the project management professional.
VO: have you been to any other country before?
Me: No and pretend that i was always busy in developing skills and kind of certification.
VO: since how long you are here in UAE?
Me: its been around 5 years
VO: what is your job and ask about my current employer.
Me: Assistant project Manager in a leading manufacturing plant.
VO: congratulation your visa is approved , you will get your passport within 3-4 business days.
Me: Thank you so much mam ..
Tip:
be confident and do not memorize your answer as it would be totally different scenario during the interview.. just understand and make general concept and explain it when VO ask.
"
14,"
VISA EXPERIENCE
VO: Hey. How're you doing?
Me: I'm good. How's your day going?
VO: It's been real busy. So where are you going?
Me: 
I'm going to California. (Handed over my passport and I-20)
VO: Great. So what's your Major?
Me: I'll pursue my Masters degree in Engineering Management.
VO: So you're doing your Masters in Management? Is it MA or MS or MBA?
Me: No Sir it's MS.
VO: Here it's stated on your I-20 that your Major would be Engineering but you're saying Engineering Management. Why that so?
Me: I don't know Sir.
VO: Also learning English would be part of your Pathway Program? You didn't give your English Proficiency test?
Me: No Sir I gave English language test i.e ITep  which was asked by the University.
VO: So you'll study English for how many semesters?
Me: Just 1 semester.
VO: Why this University? 
Me: (Started giving my answer but he interrupted me)
VO: Which other Universities have you applied to?
Me: University of the Pacific
University of South Carolina
University of South Florida
University of Dayton
VO: Got acceptance from all of them?
Me: Yes Sir, just 1 reject for South Carolina. 
VO: I can see there's a huge amount of expenses mentioned on your I-20. How you're going to manage it?
Me: Sir my father would take care of all the expenses.
VO: What does he do?
Me: He works as an architect engineer at ministry of defense and architecture Riyadh Saudi Arabia.
VO: Is he a government employee?
Me: Yes
VO: What's his position?
Me: Senior engineer
VO: What I meant was what's his scale 17th, 18th or 19th?
Me: There's no scale system in Saudi Arabia.
VO: I'm sorry I didn't heard the Saudia part.
VO: So where's your family?
Me: They're currently in Saudia.
VO: So you live here alone?
Me: Yes Sir for now.
VO: When did you graduate?
Me: Last year. September 2018
VO: What are you doing since then?
Me: I did few internships related to my field and then I started my own animation house.
VO: Alright. Please give me 1-2 minutes.
Me: Do you need to see my bank statement?
VO: No that won't be needed.
Me: Sir I've been preparing for this attempt for too long and its been a really tough journey. 
VO: (Smiled and didn't say a word)
Then finally VO: I'm going to give you a good news then, YOUR VISA IS ACCEPTED. Have a good time in US. (Handed me a blue slip)
Me: Thank you so much Sir. I can't tell you how much this means to me. 
(Then I left the consulate and got me passport in the next 2-3 days) 
Best of luck to everyone who are going to apply for the VISA in the coming time. The only key thing is your confidence, so have faith in ALLAH (S.W.T) and everything would be fine.
"
15,"
10/01/2022
Karachi Consulate
Visa B1/B2
Status: Approved
Good 
Morning officer, how are you?
Officer:I am good how are you?
I am also good.
Officer: Lets scan your finger first.
Sure sir.
Q1: What are your educational plans?
 Sir i am medical graduate from Karachi pakistan, currently pursuing my Usmle journey ,want to do clincal rotation and then will apply for national residency match program this year.
Q2: Is this a Clincal rotation or observership
Its observership sir.
Q3:Why it is necessary to do obserbership?
Sir its a requirememt for national residnecy match program thats why i have to got for this.
Q4:Where you will go ? 
Sir i am going to this clinic and city and state
Q5: In which speciality this rotation is?
Sir this is in internal medicine.
Q6:What is the duration?
Its for 2 months
Q7: Will u be doing rotation at one place or more than one place?
Sir Its at one place with same physician.
Q8:How you find this doctor? 
There is online portal Frieda where i contacted this doctor and sent him my credential after that he gave me invitation letter.
Q9: Are you a qualified doctor here in pakistan?
Yes sir, i completed my mbbs and internship.
Q10:Are you currently working?
Yes sir i am working at this clinic and this city.
Q11:Who will pay for your trip.
Sir my father will pay for my trip
Q12:What your father do?
Sir he is a bussines man and in addition to that he do own 2 houses which are on rent.
Ok i am approving your visa thankyou have a great day
Thankyou so much  officer Have a Nice day !
"
16,"
Hello Everyone!!!
I hope you are all in good health.
My visa interview was on the 31st of October and VO put my case in AP (221g) and asked me to provide some documents like my CV and the potential supervisor's CV.
Up 
to now, I didn't get any update from the embassy. 
My classes are going to start on the 8th of January, what I should do?
1). Should I call the embassy about it?
2). Or I should email the university to give me an extension in enrollment?
3). Or I should ask them to defer my semester from Spring to Fall 2023???
4). Or, I should wait until the 8th of January,?
(Ph.D. Physics, Texas Tech University.)
"
17,"
Karachi Embassy
Self Sponsor case
9:15
Mercer
1st attempt 
Q: 
Hello, how are you.
A: Doing well what about you?
Q: So What you are going to do?
A : I’m gonna purse master degree in Business Analytics in which I will be learning data analytics and machine learning techniques
Q: why you have choose Mercer?
A: I Made a budget for my studies, and I applied in 3 university from which I found mercer cost effective, so I could save some of my money and buy books or course material there ( She didn’t let me complete and asked another question )
Q: So what are those unis?
A : Cleveland , uni of missippi and mercer. 
Q: have you accepted in all?
A: no got rejection from uni of missippi
Q : So tell me about your plans.
A : So I wanna be an entrepreneur once I return from USA. And I wanna create a health care mobile application for people in my community who are not able to speak.
Q : so what do you mean by speak?
A : Who have Speak Disability, if you would like to know how we are gonna achieve it I will be more than happy to share with you
Q: tell me
A : So basically person can interact with mobile app using their actions and app will convert those actions into a meaning full voice note
Q: I see you are working for an American company based in redmond?
A: Yes I have been working As senior software engineer since 2018.
Q: Who’s sponsoring you?
A: I’m sponsoring my self as I have worked so hard in last few years to save some of my money and now I would like to invest in my education
Ok give me few minutes. typing..
Your visa has been approved.
Me : have a nice day!
I would really recommend students to prepare their answers, rattey wale answers won’t help you. and be productive
3RJQh5p.com
Aseem
Karachi Embassy
Self Sponsor case
9:15
Mercer
1st attempt 

Q: Hello, how are you.
A: Doing well what about you?

Q: So What you are going to do?
A : I’m gonna purse master degree in Business Analytics in which I will be learning data analytics and machine learning techniques

Q: why you have choose Mercer?
A: I Made a budget for my studies, and I applied in 3 university from which I found mercer cost effective, so I could save some of my money and buy books or course material there ( She didn’t let me complete and asked another question )

Q: So what are those unis?
A : Cleveland , uni of missippi and mercer. 

Q: have you accepted in all?
A: no got rejection from uni of missippi

Q : So tell me about your plans.
A : So I wanna be an entrepreneur once I return from USA. And I wanna create a health care mobile application for people in my community who are not able to speak.

Q : so what do you mean by speak?
A : Who have Speak Disability, if you would like to know how we are gonna achieve it I will be more than happy to share with you

Q: tell me
A : So basically person can interact with mobile app using their actions and app will convert those actions into a meaning full voice note

Q: I see you are working for an American company based in redmond?
A: Yes I have been working As senior software engineer since 2018.

Q: Who’s sponsoring you?
A: I’m sponsoring my self as I have worked so hard in last few years to save some of my money and now I would like to invest in my education

Ok give me few minutes. typing..
Your visa has been approved.

Me : have a nice day!

I would really recommend students to prepare their answers, rattey wale answers won’t help you. and be productive
"
18,"
Visa status approved :
University : IIT Chicago
Program : MAS Power engineering (Pathway program)
Bechoulr GPA: 2.56
Dress code : Navy blue paint cout with white shirt and brown shose 
Appointment: 19th November Friday
Time: 8:00 (10:00)
Category: F1
 (Islamabad embassy)
Me: Hello 
Vo: Pass me your documents and put your left hand for scanning.
VO: Whats your program?
Me: My program is MS power engineering .
VO: who’s going to sponsor you?
Me: My father is going to sponsor me .
VO: What he is doing?
Me: He’s a businessman and he’s running Bajwa electrical pole company and we deal with street lights and pole and has been working with Bahria and DHA.
VO: Who many sibling do you have ?
Me: 2 brothers and 2 Sisters .
VO: what’s your brothers are doing ?
Me: my elder brother is working as a sale executive in company and my younger brother is working as a site engineer and I’m working as a design engineer into my company .
VO: You visa is approved .
Me: Thank you soo much .
Reason of my success : Five Times prayers and dua , a strong connection with Allah , quit Harm things and acts , Toba astegfar, solid belief on Allah , a little bit my struggle and strong diturmination.
With my belief if you want any thing in life then you should have a strong connection with Allah in the form of 5 time salah , dua with complete attention , and parents prayers .
"
19,"
US VISA INTERVIEW
Hey guys, I recently appeared for the F1 visa interview and my visa got approved so I wanted to help you all. Here's a list of all the questions I prepared. The bold ones are the most important questions according to me.
https://docs.google.com/.../10EbWhCd0q2MkVwj8QC86.../edit...
Note: It was my first attempt and I applied for bachelors. A lot of questions might overlap for masters/Ph.D. students but be prepared to answer other questions related to work, research, etc.
TIPS:
1- Be prepared
If you thoroughly prepare for all the questions, you won't get stuck. It doesn't matter if you are not fluent in English or have other issues.  Give your best shot!
2- Be specific
Try to answer in a personalized way. Do not repeat general answers that the visa officers have heard thousands of times. You have to research the university website and google to create specific answers which are unique to you. Stand out from the crowd.
- Be confident
The visa officers are just employees who are doing their work and getting paid. Do not get preconceived notions about which visa officer is good or bad. I have read several times on this group that the visa officer was in a bad mood that's why they rejected me. This is simply not true, they have to write a specific reason when they reject an applicant. 
That's it. Remember me in your prayers.
#visaapproval
 
#interviewexperience
 
#interviewtips
docs.google.com
VISA interveiw questions
Why do you want to go to the US? / Why do you want to go to the US? Why have you chosen the US? Or why have you decided to study in the US? Did you apply to universities outside the US? Why not other countries or Pakistan? How did you find out about this university? How many universities have ...
"
20,"
Had visa interview today. Lasted less than a minute. He did not ask for or looked at ANY documents except I20. Alhamdulillah approved and received blue slip.
Questions asked and answers:
Which school? Kellogg … 
See more
"
21,"
Visa interview F1 
03-08-2021 12pm 
First attempt Islamabad embassy.
After finger prints.
Vo:why you are going to USA?
Me: 
for master of law from university of California Davis campus.
Vo: UC Davis is really a nice university.
Me: off course it is.
Vo: why you select that university?
Vo: who is paying for your trip?
Vo: what your father do?
Vo: how much he earns?
Vo: any refusal before?
Vo: travel history? 
Me: no sir I don't have any travel history.
Visa officer handed me blue slip. By saying enjoy your stay in USA.
"
22,"
Is there anyone who got a rejection after Administrative Processing (221g)? Will they notify by email that your visa is rejected?
I have given interview in Karachi Consulate on April 28, 2022 and since then status was ""Refused"" and the date stated of last update was April 28, 2022 but today I checked again and it still says ""Refused"" but date of last updated changed to July 14, 2022. I got no email.
So I am confused that my visa is still under administrative processing or is it refused.
"
23,"
My F1 Visa got approved. Special thanks to 
Rana Ibrar
  bhai for his support. He give me the confidence that I needed.
Islamabad Ambassy 
Date: 22nd june
Time: 10 am
VO: Put your left four fingers on the scanner.
I: 
Sure
VO: What will be you doing in the US?
I: I will be doing my masters in civil engineering from the university of texas at austin. The concentration will be structural engineering.
VO: How you many universities you applied to?
I: I applied to 3 different universities. Stanford, NYU, and UT Austin 
VO: Did you get into all?
I: No mam, I got rejected from standford.
VO: Did you get into NYU?
I: I am going with UT Austin. ( I didn't hear the question or didn't get it)
VO: Did you get into NYU? (Loud)
I: Yes mam, I get into NYU.
VO: Who is sponsoring you?
I: My uncle
VO: What does he do for living?
I: He runs a construction firm which is related to my field.
VO: What are your plans after graduation?
I: told
Be confident. Thats set
"
24,"
Admin please approve it. Thanks
Hope you will be fine.
Here i am sharing my yesterday experience and i need your opinion that what actually happened and also i was refused one time ago.
Applied for BS in IT
Status: rejected 
Karachi consulate
No greetings even he didn't look me at all that who's standing in front of me.
Vo: why do you want to study this subject in USA?
Me:.   Sir because the US education...........here he interrupt me and gave me a rejection slip.
He was a Korean type man and when i went to counter he was standing and singing something and shaking their foot and he was in very hurry very very very hurry .
Shame on him they don't care about us and we placed them in our heads they are not worthy of such respect . If these people are from the america so what ,they didn't come from sky .....please share your thoughts
"
