,Text
10,"
Hello, 
I'm in urgent need of guidance. 
AlhamdulliAllah, I have been accepted to Carneige Mellon University for a Masters in Public policy and Management with a 40% tuition scholarship. But I'm still concerned about paying for the reminder of my tuition. I come for a middle-class family and my parents cannot afford it due to the volatile USD/PKR exchange rate. 
Can someone please guide on what should I do? or help me find any external funding? 
Is 
it a wise to opt for a student role?
I'll appreciate your response!
"
11,"
Hi everyone
I got accepted to University of Texas at Austin for an MSc degree in Structural Engineering. I didn't got any funding and my uncle will be sponsoring or financing my studies.
I have received my i20 and now i am worried about my vissa rejection. Specifically for the finances part.
Any suggestions for interview or will i face any problems for the finance part.
Further, My uncle uses current account and not savings.
"
12,"
Hi folks, 
My F1 visa recently got accepted, but due to unavailablity of accomodation, high ticket price, and some personal reasons I am intending to defer my one semester. 
I would like to know if I defer my semester, do I have to give an interview again for F1 visa and what're the cons of deferring our semester. Kindly enlighten!
"
13,"
Please Admin approve my post.
AOA to all of you.
I've been accepted by a professor for PhD program at the University of California, USA. I need your feedback on an important matter. The guidelines state that if you've studied in an English medium, you don't need an English test like IELTS or TOEFL. I reached out to the professor, who advised me to ask the graduate admission director, but I haven't received a response. I then contacted the graduate student affairs officer, who 
confirmed that I don't need to take the IELTS.
I'm a bit concerned about whether I should proceed without the test. The application deadline is December 1st, and need a 7-band score. Will this decision impact my application negatively? Your insights are much appreciated.
"
14,"
I got accepted in villanova university for PhD, i dont have any professor acceptance and IELTS, instead of ielts they took an interview to judge my english language i cleared that, my question in what are the chances of getting visa without ielts and professor concent thanks
"
15,"
Hi Folks, 
Quick question for y’all! 
So I got accepted for UNC at chapel hill for my MBA I have paid them deposit and about to pay my 1st year fee my classes are starting Jan 04 2024. Everything was going smooth until they asked me for official transcripts in a sealed envelope. 
Just to clarify i completed my bachelors in 2011 from pakistan. Now I am settled here in NC. 
Anyone having same issue or can help me on how to  get the official transcripts? I have been trying emailing 
my previous school and was trying to do some research on there website as-well but couldn’t find anything.
"
16,"
I got accepted for an MS in Human-Computer Interaction at DePaul University in Chicago.
Wanted to get in touch with someone who is either studying the same course, studying another major in DePaul University or studying at another university in chicago.
Want to know the average cost of living off campus keeping in mind that i am not looking to live lavishly.
How 
much rent should expect per month (i dont mind sharing)?
3 comments
Like
Comment
Send
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook"
17,"
Admin please approved!! 
I applied in 25 universities and accepted in 9 of them so it's necessary to told them the right number of universities I applied?? Or it's fine to say I apply in 10 universities and accepted in 9
"
18,"
Got accepted Alhamdullilah 
University: Adelphi university NY
Major: physical education and nutrition 
VO just asked two questions
1.Why this university? 
2.Why this subject?
It literally took 2 minutes. Thankyou so much people for your prayers 
"
19,"
Dear @All
I need urgent guidance. I was recently accepted for fully funded Ph.D. position. My program joining date is 1 June.  My appointment date is 19 May 2023. 
I would appreciate your advice on whether it would be appropriate for me to apply for an emergency appointment or if my current appointment date is OK.
Kindly let me know your help will be highly appreciated.
Kind Regards
"
20,"
Hello everyone, I've been accepted into the University of Notre Dame's full-time MBA program. I'm looking to connect with current students, alumni, or individuals familiar with Notre Dame for guidance and insights. If you can help, please message me. Thank you.
4 comments
Like
Comment
Send
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook"
21,"
Ive applied to may unis and here are the stats:
1.Accepted into university of northern iowa
2. Accepted into SUNY oswego
3. Accepted into Long island university brooklyn with 20,000 usd annual scholarship for upto 4 years
4. Accepted into Saint Louis university (Missouri) with 37000 usd annual scholarship for 4 years
Waiting on other acceptances but by far which one should i choose?
"
22,"
Salam everyone 
This is my first post here. 
My son accepted into Wichita State University for Computer Science and university of Kansas for Computer engineering for bachelor’s degree. 
Which university is better? 
Which program is better? 
Which Uni is better, safer ? 
What are the benefits of sending him to the US? 
He also has an option of going to Germany & Italy & I am very confused as to where should I send him?
1 comment
Like
Comment
Send
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook"
23,"
I've been accepted into the University of South Dakota's MS program and previously applied for an F1 visa in February 2024. Unfortunately, my application was rejected. I've since made several adjustments for my 2nd attempt:
-I haven't listed my Master's degree. (That i already persued) As double masters is red flag.
-I've reduced my work experience.
-I've tailored my job descriptions for the program.
-I've included my current job details.(Which i wont during my first attempt)
I'm unsure whether to hide my Master's degree in this application. Any advice or other suggestions would be appreciated. Thanks.
"
24,"
Hello,
I have recently been accepted into Bard College’s graduate program (in NYC), with a financial aid award that covers tuition, Bard-sponsored housing/accommodation, and health insurance. However, expenses related to travel and food will not be waived and I’d be entirely responsible for managing them. Moreover, the program does not have any on-campus jobs/employment (I’m not allowed to live/work off-campus) and I would quite literally be on my own. I wanted to write here 
to ask for advice: Should I say yes to this offer? Is it possible to be a bit too frugal in New York and save money/stop myself from needless spending? Would I be able to manage? How can I bring down the remaining costs that have not been covered by my financial aid award? Any sort of assistance/piece of advice is welcomed.
Thank you very much.
"
25,"
I have been accepted in two universities. 
1. Rutgers-Newark, Masters in Peace and Conflict...Applied by myself
2. University of South Florida, Masters in Political Science...Applied through consultant without any charges but I was fully aware of whole process. 
Which university should I go with? And which has better visa ratio?
"
26,"
So I got my Visa accepted today and here is my experience
I had a 10am appointment but it exceeded till 11. Khair there were so many rejections that i saw in front of me while i was standing in the que. I got admission in Mercer University in Atlanta
Interviewer: What course are you going for?
Me: Masters in Buisness Analytics
Interviewer: Are you currently doing any job?
Me: 
No sir i have just been graduated in September
Interviewer: Who is going to pay for studies?
Me: My father
Interviewer: What is his profession?
Me: He is in a Mangerial position in a reputable Hospital in Karachi (Bank statement given along with bank Maintenance)
Interviewer: Which hospital?
Me: *answered*
Interviewer: Is any of your brother or sister in US?
Me: No sir
Interviewer: What are your plans after this degree?
Me: With a foreign degree and a couple of years experience i want to come back to my country and appoint as buisness Analyst in a Multinational Company
Interview: Your visa is approved
Me: Thankyou
"
27,"
Hi All,
I've recently accepted a Job offer in Boston and will be moving there by end of July/ Early August from Pakistan. My visa has also been approved. 
I'm looking to connect with students and other professionals that are looking for roommates / share accomodation and also any suggestions on where to live. 
Depending on the place, my budget is upto $2000/ Month, although I'd prefer it to be lower than that.
Thank you!
"
28,"
University comparison between University of Saint Louis and Unuversity of Louisiana. I got accepted into both for Masters in Computer Science.
Saint Louis:
Fee: 50,000$
University of Louisiana:
Fee: 16,000$
Scholarship: 5600$
Graduate Assistant ship in Summer.
Which is a most feasible for me to apply visa?
"
29,"
Visa interview
Islamabad
Texas A&M university
5th Aug: 11:30am
Vo: Hello
Me:hello sir 
Vo: i need u to do your finger prints. (Messed up with left hand once)
Me:done
Vo: alright pass me those documents.
Me: here
Vo: so why are you going to the Us?
Me: I'm going to pursue my bachelor's degree in health sciences at texas a&m university.
Vo: how many universities did you apply to?
Me: about 13 universities, I got accepted from a few.
Vo: and which ones did u get accepted from?
Me: i got accepted from the university of Hartford, texas a&m and university of---uh and I had a correspondence with the Baylor university.
Vo: ok, so why did you choose this university?
Me: well it has quite good ranking regarding my course, its listed as the 28th best medical university in terms of health care management and in biological scien---
Vo: alright so do you have any relatives in the Us?
Me: Yes, an uncle of mine lives there with his family.
Vo: where do they live?
Me: Irving (accident said the old address)
Vo: California?-- what state?
Me: no not California, its in Dallas at Texas.
Vo: alright and what does he do?
Me: his work is associated with transport but I don't really know much about that.
Vo: oh okay, so whose going to sponsor you?
Me: my father will
Vo: and what does he do?
Me: told
Vo: (going though my docs) have you ever been to the Us before?
Me: yes, twice
Vo: okay. (Keeps typing and looking through stuff for about a minute or two).
Vo: alright, I'm approving your visa, but we'll be keeping your passport for further processing. You will receive it within 1-2weeks.
There were some 30 candidates I saw that day and out of them only 2 girls & me myself got approved. One common thing between me and one of those girls was that we both had been to the Us before. Me twice for visiting and her for her bachelors(now going for masters I believe).
"
30,"
Hello.
I have been emailing professors for positions in their respective PhD programs since April but have not gotten a positive response from anywhere. Then, a few days back, my application for a PhD program in one of the universities got accepted. Now they're asking me to upload my documents etc. How is it possible that none of the professors accepted me but I still got in? What do I do about the funding? I called the uni and they said all TA positions are taken. Everywhere 
on this group and the PhD holders from USA around me are saying that PhD is always fully funded. What am I supposed to do? I'm still emailing the professors that haven't responded from that uni.
"
31,"
Asslamualikum, members.
A dumb question:
Should the physical photograph submitted to the consulate on the interview day match the picture uploaded for your DS-160?
The 
picture uploaded for my DS-160 was snapped professionally with a mobile against a white wall in my home and was successfully accepted. So, should I get this picture printed from a picture studio, or can I get a new one snapped in a different attire?
Thank you!
"
32,"
I applied for Master in Data Science program in these universities and my application has also accepted from all of these universities,
1 = Illinois institute of technology, Chicago
2 = American university Washington dc
3 = Florida Atlantic university
4 = University of the Pacific california
Now 
I am confused as to which University should I select for this program. Because I wanted to select the university out of these which has the best learning environment and the best scope related to jobs in the future. If anyone has any knowledge of which university has the best scope for data science out of these four universities, kindly please let me know, so that I can start all further procedures related to my visa as soon as possible.
"
33,"
Universities in the USA with No Application Fees and Full Funding/Scholarship Opportunities
 Denison University 
 - No application fee 
 Michigan Tech University 
 - Only $10 processing fee, PhD funding available 
 
Michigan University Dearborn 
 - No application fee for BSc/Undergraduate, automatic scholarship consideration 
 Missouri University of Science & Technology 
 - Full tuition waiver and stipend for PhD students 
 New Mexico State University 
 - No application fee for chemistry and biochemistry Masters and PhD, automatic funding once admitted 
 Northwestern Oklahoma State University 
 - No application fee, scholarship available 
 Northeastern University, College of Engineering 
 - Free application fee for engineering courses, full funding for all PhD programs 
 Notre Dame University 
 - 100% funding for all admitted Masters and PhD students, no tuition fee, 70% of Bachelor's students get a scholarship 
 University of Colorado Boulder 
 - No application fee for all PhD programs 
 University of Cornell 
 - Most Masters and PhD are funded 
 University of Dayton 
 - No application fee for any program 
 University of Lynchburg 
 - Full tuition scholarship for international students 
 University of South Carolina 
 - Full tuition waiver for Masters students 
 University of St. Thomas, Minnesota 
 - No application fee, all undergraduates are considered for scholarship 
 University of Southern Maine 
 - Full tuition waiver for international students 
 Wayne State University 
 - No application fee for graduate students, GTA available 
 West Virginia Tech University 
 - Automatically considered for scholarship, no application fee 
Apply now and get your education funded! 
"
34,"
MS 3.83/4 cgpa
BS 3.11/4 cgpa
2 internships 
I am looking to apply for phD in USA with scholarships. 2 professors are ready to accept me still need to go through admissions process.
I have negative thoughts that my profile is not strong enough might get rejected 
. I was involved in different projects/ research but have no publications yet. 
Any 
suggestions?
"
35,"
Hello,
I am from Pakistan. I have recently been accepted into Bard College’s Masters program, and received a financial aid award that does not cover personal, food and travel expenses (along with other services and amenities). I wanted to write here to ask about alternative sources of funding (both International/American and Pakistani) that could help me finance my graduate study in the United States/at Bard and cover the remaining costs. I have spoken to their financial aid 
officer, but thought it might be worth a shot, to ask here and get your suggestions. 
Thank you very much.
"
36,"
Hi, I recently got accepted at a school in chicago for a psychology program(Masters) 
I had a couple questions, if anyone of you can help me out a little.
1- My current school is around 13k per semester; however i dont want to start studying here. Im just planning to use their i20 to get visa. Since they have a low acceptance rate, im assuming it’ll be helpful in getting the visa through them. 
Is 
it possible that i transfer to a community college before even starting my semester at my original school? 
(If yes, are there any you guys can suggest?)
2- Should i apply to these community colleges from pakistan( right now) or when i come ? (Given that i do get my visa approved) 
3- Can you give me a step to step guide as to how i will be able to transfer right away ? If anyone has been through the process, id love to hear your experience. 
(The community colleges i checked have a deadline of august 15th for fall 2023) 
4- Can i work off campus on my very first month of coming to the states or am i only allowed to work on campus( given that i will not have a SSN initially) 
Any other piece of advice you can give me, id love to hear it. Please help a sis out 
 
Thanks!
"
37,"
Dear All,
Is there anyone from Southern Illinois University,Edwardsville. 
I have been accepted there for the Industrial Engineering Program with a scholarship of worth 15000$ for two years.
Need 
to get some info regarding the university,living,rent and other expenses in order to evaluate my budget. 
Considering the fact that I have also been accepted in Concordia University,Canada. What will be the best option in terms of job and Visa ratio of USA?
"
38,"
I have been accepted for a Ph.D. program at Texas Tech University. However, I am currently facing some issues with activating my eRaider account.
I am unsure of how to proceed with the activation process and would appreciate any guidance or assistance from individuals who are familiar with the process. If anyone has knowledge on how to activate an eRaider account, kindly share your insights in the comments section.
Your help would be greatly appreciated, as activating my 
eRaider account is crucial to accessing essential resources such as the university's online library, email services, and Blackboard.
"
39,"
Good Evening Fellows
I have secured admission in PhD at University of Kentucky Lexington and accepted the admission offer. I applied to 8 colleges collectively with a visible chance that I will be admitted to atleast 2 more.
My question is that if I file my Visa with University of Kentucky I-20 form and latter i decide to go to some other school what steps will I need to take?
Can 
I get visa issued by an I-20 of University of Kentucky and later change my school ? 
Please help me with expert opinions
"
40,"
Aoa to all, this is Naeem. I just completed my Mphil in mathematics from QAU Islamabad and before my Mphil, I did my Bs with distincton in mathematics. Now, I have been selected for fully funded PhD schoarship at texas tech university, Texas, USA. The PhD position is of industrial engineering. The stipend is $29000 per annum. It means that $2416 per month. And my most semester fees are waived except the medical allowance which will deducted from my monthly stipend.
Should I 
accept the offer? 
Is there anyone from Texas tech university?
What will be the next step after accepting this offer? Thank you
"
41,"
Dear Respected Members
I hope you all are doing great. 
I have been accepted at Wichita State University for a PhD program in Biomedical Engineering. 
My 
classes starting from 16th August and I got my acceptance yesterday. I am scheduling my visa appointment at islamabad embassy as soon as possible. Struggling a little with DS160, a little help related solely to DS160 will be very appreciated. Thank you
"
42,"
Hello,
I have done MBA in marketing 2020 and now I am willing to pursue my Ms in Business analytics from US.  Visa officer could most probably ask me  about why double masters. I need suggestions regarding this question since my interest area is business analytics and wanted to enhance my skills and expertise in this field but I don't understand how to logically answer this question.
Furthermore, I want to know how higher the chances are of visa approval for the candidates of 
double masters.
Any help in this regard will be highly appreciated.
Thanks
"
43,"
Hello guys! My visa got accepted today here is my experience !
When i went to the visa officer i told him that sir i came here on 12th and i think you rejected my visa. He said did i? Let me check and surprisingly he said no i thought he removed his beard. Then the interview got started
Vo: Why illinois state ?
Answer: well i applied to two other universities but this uni fulfilled my requirements.
Vo: 
what type of requirements?
Ans: i got a bit confused in saying that financially but then got it right and explained uni
Vo: who is  going to pay for you?                              Ans : told
Vo: How many brothers and sister? Wnd what do they do?
Ans: told
Vo: can i see your statement? 
Ans : here you go!
Vo: What are you doing to do with economics degree?
Ans: im going to come back to pak and join state bank as a junior economist and after experience im going to start my own research centre
Vo: I’am approving your visa have a good day!              
Ans : thank you sir same to you! Sir i saw you on facebook during your live streaming about f1 visas and i got impressed from you and you motivated me he gave me a thumbs up
And atlast i said merry christmas in advance sir. He said thank you 
The nicest person i have ever met !
"
44,"
Got accepted into Kansas State University for bachelors of psychology. (MashaAllah) 
The university has provided a list of scholarships but have encouraged me to look for other international student scholarships. Please recommend if any of you here applied to external scholarships and got accepted. I’m trying my luck out. Please kee me in your special prayers as this is a very crucial time for my developing career.
Anyone here who applied to private loans too. Let me know in 
the comments and I’ll dm you for further queries if possible
Like
Comment
Send
Answer as Muhammad Aseem
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook"
45,"
Visa Interview Experience 
Profile: PhD Nutrition funded by Higher Education Commission of Pakistan. University of Minnesota.
Visa: J
Status: Accepted
In 
first window the guy verified my documents, checked my passport and pictures. Asked me if im married and asked about how long ago the picture was taken.
In second window my biometric was done
Then i waited for another 20 mins for my turn for final interview. My interview guy was bald man and he was older in age.
VO: Why are you going to US?
Me: To do my PhD in Nutrition 
VO: Why this university?
Me: I have worked a lot on nutraceuticals and superfoods. When choosing a university i wanted that my phd research is also around one superfood. So now I’ll be working on soy beans. Also the courses here at UMN are those that i am already familiar with but still need to gain technical expertise in. Like food analysis and food safety. And i have heard minneapolis is a beautiful city.
VO: ok ok and who is funding you?
Me: HEC
VO: I see that its partly funded by your university.
Me: Yes partly funded by university and rest by HEC so its completely funded.
VO: okay great. Congratulations. Enjoy your stay. Read the rules…… (couldn’t hear anything further as i was already crying almost)
I took the blue slip, my documents and almost ran out of the hall (as if he would catch me and give my passport back 
)
I was confident, i made sure that my answes are related to my research and reflect me and not any general answer. This is the key i think. Thank You everyone for all the support that I got. 
"
46,"
Dear Group Members,
One of the professors from University of Florida has accepted me to enroll in a PhD project under her supervision. The project is fully funded. Also, she has offered me to work as a teaching assistant at the department as well. 
Currently, I am clueless about the next steps (e.g., Visa processing and documentation). I would really appreciate if you all could guide me on the following points:
1) 
What type of visa options are available in my case? I am married and would take my spouse with me.
2) Besides degrees, passport and acceptance letter, what other documents would be needed?
3) How long does the whole process take?
"
47,"
Hi, It will take hardly take 3-5 mins but will save my life with wrong path share your suggestions 
hope you all are doing well I'm interested to move USA for my masters but here are some dificulties which may i face during procedure please guide me it was my dream to come USA and settle there with my family,
I'm 22 years old and doing Bachelors in software engineering from University of Central Punjab I'm in 6th semester my cgpa is 2.12 it's  below from average and i know when 
i complete my degree it will be 2.3 max for work visa i need job offer letter so it's difficult to get LMIA or other jobs but i want to study in masters in USA I'm not eligible requirements are 3.1 cgpa of universities and some are 2.8 i have two paths one is premaster of 1 year for getting addmisson in masters  which is very  expensive  and second one is diploma which had been considered no value please guide me what i can do to come USA for studies  to get pr and when i feel now I'm settle there then my family is also planning to move there from Lahore,Pakistan 
I'm in trouble but I'm also working on my profile skills and side works  such as internships and courses with my degree to build my application strong but main thing is  I'm not eligible because of my cgpa for masters  in USA  please guide me I'm  weak in studies but i had dreams and working on it to gain skills and extra  things for my career ,thanks in advance please share your  suggestions highly considerable.
"
48,"
Assalam o Alaikum everyone!
Urgently need your suggestions 
I have fully funded phd position in Georgia state university.
On 
31st May 2023 at islamabad conslate my Visa has been refused under Section 214(b) of the U.S. Immigration and Nationality Act. 
American lady conducted my interview. 
Interview
VO: hello good afternoon. How are you?
I'm good. What about you?
VO: I'm good too thank you. Pass me your passport, I-20 and sevis. 
Here you go.
VO: which university are you going to?
I'm going to georgia state university 
VO: in which program? 
I am going to do Phd physics
VO: why georgia state?
I have choosen georgia state university because their research is overlapping with my research, so its convenient for me to persue research in my desire field. 
VO: have you done masters?
Yes, I have done my masters from _____ university pakistan. .
VO: any research in your masters?
Yes I have done thesis. 
VO: what was your research?
It was a paper based research that was focused to study the behaviour and basic interaction of elementary particles. 
VO: you are currently working?
Yes, i am working as a visiting faculty at _______ University 
VO: are you married or single? 
I am single
VO: you know any one in the georgia state?
No
VO: any relative in the US?
 Yes my brother is there 
VO: where and what is he doing? 
He is doing his phd from ______ state university
She said sorry I can't approve your visa this time and rejection came to me.
Kindly share any possible changes that I could make for the next interview. Also, what is the waiting time for previously refused participants.
"
49,"
Hello and Eid Mubarak!
I'm planning to go for my post-grad studies this Fall-23 and have been accepted by the University of San Francisco in their Energy Systems Program. The University has offered me a $10k scholarship for the whole academic year, and the rest will be funded through student loan (cos I don't want to use my PKR savings to fund my studies). 
Total per annum expenses are (incl. living, and other expenses) $50k. (I will be showing proof of funds of around 30k; 20k 
savings account and 10k scholarship)
My questions from the community are:
1) would there be any issue in the F1 visa processing? 
2) Do i need to show complete Proof of Funds of $50k? Or should i tell them that part of the cost will be funded through student loan?
3) I'm funding my education from my own savings. My family won't be supporting me (coz they don't have that much money or source of income). I have 6 years of professional working experience. 
Your help is highly appreciated. Thanks in advance.
"
50,"
Hello everyone. 
I got accepted in these three school into their MS program in Finance. Which would you advise me to be accept?
1. Temple University(required (500$ for secure seat)
2. 
University of pittsburgh (2000k$)
3.Depaul university (2000k$)
I m little bit confused bcs these are all amount is non refundable so plz give me your valuable suggestions thank you
"
51,"
UIUC Admission Letter!
Hello everyone. I have been accepted into UIUC in USA as a master student. I have been offered tuition fee waiver as well as RA which will get me a monthly stipend.
I have to now upload proof of funds but the thing is I am unsure. How much funds do I show? What is the procedure in my case? 
Also if anyone has been accepted into UIUC please let me know. 
Please reply even if your University is different.
Thank you.
"
52,"
Hello!
Need a favour!
Is printed I-20(computerized signed) accepted for the traveling purpose or do we need to get original hard copy from the university using international courier service which costs around $75?
Kindly answer this query or share your experience, if you have any on it.
Thank you in advance.
"
53,"
Salam 
I got accepted at 
Parsons School of Design
 and I have to reserved my seat by May 1, 2023. 
I will be applying for F1 visa. I have the following Questions:
1. I need sponsors from US for half of my expenses. 
2. After how many days will I get my F1 visa? 
Your 
any help would be appreciated! 
Thanks
"
54,"
Hello everyone.
I would really appreciate your valuable suggestions on my current situation. I have been accepted into the University of South Carolina, Columbia, and had a visa interview scheduled for March 10th. Fortunately, the interview went well, but I was informed that my visa application was refused under section 221g. The Visa Officer has requested additional documents, including a detailed study/research plan and its practical application. (Attached)
I have already 
contacted my potential supervisor, and he has agreed to provide a letter stating that I will be working with him in his research group. The graduate director will be providing this letter in the upcoming week. However, it has already been three days since my visa interview, and I am concerned that submitting the documents late could cause issues.
I would greatly appreciate any guidance or advice on this matter from those who have more experience in this area.
 Thank you!
VMsfHVLeP.com
Muhammad
Hello everyone.

I would really appreciate your valuable suggestions on my current situation. I have been accepted into the University of South Carolina, Columbia, and had a visa interview scheduled for March 10th. Fortunately, the interview went well, but I was informed that my visa application was refused under section 221g. The Visa Officer has requested additional documents, including a detailed study/research plan and its practical application. (Attached)

I have already contacted my potential supervisor, and he has agreed to provide a letter stating that I will be working with him in his research group. The graduate director will be providing this letter in the upcoming week. However, it has already been three days since my visa interview, and I am concerned that submitting the documents late could cause issues.

I would greatly appreciate any guidance or advice on this matter from those who have more experience in this area.

 Thank you!
"
55,"
Hi everyone.
I got offered to join Masters in Data Science at the University of Connecticut, Storrs, for Fall 2023. I just accepted the offer and paid the enrolment fees. I've been instructed to submit an official transcript and degree diploma/certificate.
As I still need to get my degree and transcript attested by the Higher Education Commission, I fear the documents still count as official and will be accepted.
Further, if anyone is currently enrolled or aiming to join the 
University of Connecticut, please connect to help me with the process as I proceed.
Thanks.
"
