,Text
10,"
Status refused 6th March
My interview lasted for 10 minutes atleast everything was going in order. I dont know what is the reason of my  refusal. Experts please tell me what should i do now.
Me. Good morning
Vo. No reply. Give me your i20 and passport
Me. Gave
Vo. 
Why usa
Me. I have placed usa universities in the top of my list because it is the most popular destination for studies among foreign students, usa has prestigious universities in the world. Degree obtained from usa has much more worth then any of other countries here in pakistan. They also offer practicle courses, flexible education and cultural diversity further enhanced the educational experience. 
Vo. what are you going to study
Me. I going to peruse masters of cyber security.
vo. Why this uni?
Me. UD offers students a real world education, besides that I was also in contact with my professor. she has worked in industry and also her research, work, knowledge and contribution to this department are exceptional which also matches with my interest. This made me select this univeristy.
Vo. why this course?
Me . I am already working as a security analyst in xyz company, which is not sufficient for me as it requires tremendous amount of knowledge and skills to analyse and stop digital threats. This degree is exactly my field. It will not only enhance my knowledge but provides me the expertise which I can opt in to my field to perform even better.
VO.  Who is your sponsor 
Me. my uncle is my sponsor and he is  resident in usa
Vo. What he do there.
Me. He was a international cricketer and also working in xyz company as a network security engineer.
He. How much he earns
Me. told 
Vo. why will he sponsor you and not your father.
Me. TBH I got my admission way earlier then I thought  so my father was not able to show the bank statement of last six months because we have such business where we reinvest our profits back to business every after 8 months and then we get profit 2 times more. So that's why my uncle is sponsoring me.
Vo. is he married?
Me. yes
Vo. how will he bear your expenses while having his own kids.
me. All of his kids are under 12 years of age. by time he will finance his kids education. I would be graduated till then. how ever he is rich and he can bear the expenses together.
Vo. what are your plans after your masters.
Me. I will get back to my country as i am already into a legal contract with a company where they offered me cyber security role with 2 times salary. also I got engaged recently so I'll.mary my fiance after coming back.
Vo. Sory, we can not approve your visa this time and gave me slip.
Experts please tell me where did I go wrong.
"
11,"
Hey. 
Got refused on 16th Nov in Karachi embassy
Course : MBA ( in concentration with health care administration) 
Me : good morning officer
Vo : good morning
Q: 
why you choose Lamar university? 
A: Lamar is nationally recognized for quality of its core curriculum and diversity of student body as compared to other university. It is the fastest growing university in Texas and is one of the 7th institutions in Texas university state system. Recently Lamar completed 100 years of milestone and excellence. Their professor and faculty member are well know for their contributions of research and opportunities have given to graduate students many research article and proceedings are published and grants have been approved. I got scholarship of $8344 means 60%
Vo: Great  How did you get scholarship 
Me : Due to my academic achievement my cgpa was 3.53
Vo : How is your sponsor
Me : My father is sponsoring me 
Vo : What does he do? 
Me :  He had business of sea food
Vo : How many employees work in his company
Me : 30 employees
Sorry I can't approved your visa you may apply next time 
What changes I should made in my profile paid the visa fees but no slots available up till now.
"
12,"
My F1 visa got refused under 221g on 24th May.
Embassy: Islamabad 
Field of study: PhD Computing and Information Sciences 
VO didn't ask many questions. I have fully funded PhD scholarship and still refused visa. Officer only asked:
1) Why this university
2) 
Your specialization
VO: ok I am putting your Visa application on AP, you will get an email. Have a good day. 
After few hours I received an email and they asked for my research proposal, CV, supervisor CV. I replied immediately with all the required documents attached.
Any thoughts?
"
13,"
14 September
B1 B2 visa refused
Mode Urdu 
Why you want to go to the USA 
I 
want to meet my brother and nephews
What does your brother
Uber driver and scrap business
What do you
I am a lecturer and doing a PhD
How many countries visited
Uae Qatar saudia
Additionally I told him I go to UAE Qatar Dubai every year for a short term job
Instantly he replied that sorry rules are strict and give me yellow slip
A lot of people received yellow slips today only one older woman and 2 kids got green slips .
Now I got a 3 month short term Saudia company visa basic salary 3800 can I apply again from Saudia?
"
14,"
6th November, 23
REFUSED
Please share what do you guys think can be the reason I got refused?
Q1, 
What are the courses you’re going to study in first semester?
Ans, Cornerstone and two introductory courses. Fundamentals of management & marketing.
Q2, Why US?
Ans, After graduation last year, I joined the xyz industry and I noticed a commonality amongst CEOs of top 10 companies operating here which was that 7 out 10 CEOs have all studied from the USA. And since I also want to make my career in Pakistani xyz industry, having studied in the US would increase my odds of a successful career in Pakistan Significantly.
Q2, When did you graduate? 
Ans, Last year in 2022, in the months on June/July
Q3, What did you do after that?
Right after graduation I joined xyz organisation’s headquarters for an internship for a period of 3 months and while still there I landed a job at the headquarters of abc and I have been working here since then.
Q4, Which department?
Ans, Credits/Lending
Q5, How many universities did you apply to?
Ans, A total of 5 universities and got in in all of them. Here are the admission letters from all of them. Do you want me to name them? VO replied no need.
Q6, have you ever traveled outside of Pak?
Ans, Although it was a long time back but yes I have traveled to UK.
Q7, (Pointing towards to amount on I20) VO asked about how I’ll arrange the funds needed for the second year of my master’s as the amount written on i20 is only for 1st year.
Ans, I already have the funds needed for second year of my masters as can be seen from my bank statements. My family has liquid funds of double the amount needed in I20 allowing for any unforeseen circumstances.
Q8, Please show me your bank statements
Ans, Passed the statements to the VO
Kept looking on the screen and then said that the US visa laws are very strict I’m sorry and then gave me a white slip.
Note: 
-My university was: University of Dallas (UD)
-My sister also lives in Texas and was my co-sponsor as well.
-My bachelors was BBA and graduated in june 2022
-Masters program was MBA w/ concentration in Business Analytics 
Please advise as to what I can improve in my application and if i should apply again?
NmCl7.com
Muhammad
6th November, 23
REFUSED

Please share what do you guys think can be the reason I got refused?

Q1, What are the courses you’re going to study in first semester?
Ans, Cornerstone and two introductory courses. Fundamentals of management & marketing.

Q2, Why US?
Ans, After graduation last year, I joined the xyz industry and I noticed a commonality amongst CEOs of top 10 companies operating here which was that 7 out 10 CEOs have all studied from the USA. And since I also want to make my career in Pakistani xyz industry, having studied in the US would increase my odds of a successful career in Pakistan Significantly.

Q2, When did you graduate? 
Ans, Last year in 2022, in the months on June/July

Q3, What did you do after that?
Right after graduation I joined xyz organisation’s headquarters for an internship for a period of 3 months and while still there I landed a job at the headquarters of abc and I have been working here since then.

Q4, Which department?
Ans, Credits/Lending

Q5, How many universities did you apply to?
Ans, A total of 5 universities and got in in all of them. Here are the admission letters from all of them. Do you want me to name them? VO replied no need.

Q6, have you ever traveled outside of Pak?
Ans, Although it was a long time back but yes I have traveled to UK.

Q7, (Pointing towards to amount on I20) VO asked about how I’ll arrange the funds needed for the second year of my master’s as the amount written on i20 is only for 1st year.
Ans, I already have the funds needed for second year of my masters as can be seen from my bank statements. My family has liquid funds of double the amount needed in I20 allowing for any unforeseen circumstances.

Q8, Please show me your bank statements
Ans, Passed the statements to the VO

Kept looking on the screen and then said that the US visa laws are very strict I’m sorry and then gave me a white slip.

Note: 
-My university was: University of Dallas (UD)
-My sister also lives in Texas and was my co-sponsor as well.
-My bachelors was BBA and graduated in june 2022
-Masters program was MBA w/ concentration in Business Analytics 

Please advise as to what I can improve in my application and if i should apply again?
"
15,"
Assalam o Alaikum everyone!
Urgently need your suggestions 
I have fully funded phd position in Georgia state university.
On 
31st May 2023 at islamabad conslate my Visa has been refused under Section 214(b) of the U.S. Immigration and Nationality Act. 
American lady conducted my interview. 
Interview
VO: hello good afternoon. How are you?
I'm good. What about you?
VO: I'm good too thank you. Pass me your passport, I-20 and sevis. 
Here you go.
VO: which university are you going to?
I'm going to georgia state university 
VO: in which program? 
I am going to do Phd physics
VO: why georgia state?
I have choosen georgia state university because their research is overlapping with my research, so its convenient for me to persue research in my desire field. 
VO: have you done masters?
Yes, I have done my masters from _____ university pakistan. .
VO: any research in your masters?
Yes I have done thesis. 
VO: what was your research?
It was a paper based research that was focused to study the behaviour and basic interaction of elementary particles. 
VO: you are currently working?
Yes, i am working as a visiting faculty at _______ University 
VO: are you married or single? 
I am single
VO: you know any one in the georgia state?
No
VO: any relative in the US?
 Yes my brother is there 
VO: where and what is he doing? 
He is doing his phd from ______ state university
She said sorry I can't approve your visa this time and rejection came to me.
Kindly share any possible changes that I could make for the next interview. Also, what is the waiting time for previously refused participants.
"
16,"
Status : Refused (214-b)
Embassy : Karachi
Date : 24th June
Appointment Time : 9:45 am 
Interviewed Time : 1:00 pm
Interview Duration: 2-3 minutes 
Vo was lady in 30s
Vo: Pass me your documents 
Me: (passed)
Vo: Why are you going?
Me: I am going to pursue my bachelors in computer science program from San Francisco State university
Vo: What is your age ?
Me : 19 years
Vo: Will you travel alone ?
Me : Yeah
Vo: So you will do pathway program first?
Me: Yes
Vo: have you done O levels or FSC?
Me: I have done Intermediate
Vo: When you passed intermediate?
Me: I passed in October 2022
VO: So what you did after that ?
Me: I did some small computer courses like python language and excel
Vo: How many universities have you applied?
Me: I applied in four universities San Francisco state university, California state university, Florida Atlantic university and western Washington university
Vo: have your dad visited to USA ?
Me: No
Vo: Have you received scholarship?
Me: Yah, I received scholarship of 5000$
Vo:what about other fundings?
Me: We have a family business so my father and my brother are going to sponsor my studies ( bank statement was of my brother’s account )
Vo: What business?
Me: We have a ________ business, we sell our products through E-commerce websites. We have ____ employees in our factory and office and we get total income of _____ monthly. My father has also some rental properties here in Karachi
Vo: So your father is doing online business?
Me : My father and my brother both 
Vo: it’s a online business?(she confirmed second time)
Me: Yeah
Vo : Is your friend or family member is California?
Me: No
Vo: In New York?
Me: No
Vo: Ok, Unfortunately this time you are not eligible for US visa. Thank you…
(I was honest throughout the interview and did not tell anything wrong)
Now Seniors please advice 
1) Where I did mistake?
2)In the second attempt should I go with same profile or change anything? Or should I apply in any other country like UK or Canada ?
Thanks for your responses 
"
17,"
Hello everyone,
Recently my visa was refused. I was asked about my relatives in US, I told the VO about my brother. Then he asked about his university so I told him he is in the same university on J1 visa . After that he asked for his passport copy, to which I said I don't have it now. 
Then he asked about my dependant funds. I had personal funds which were sufficient only for 1 year. So the VO said its not enough for five years (as I m going for PhD). I said my father will 
support me in future but he refused my visa under 214b.
Now please tell me whether my visa was refused due to my relative in US or insufficient funds..?
"
18,"
Visa Refused 214-B
ISB 
Embassy
 
1st ATTEMPT in August
-- Good Morning
- 
Good Morning
-- Which University
- I am going to pursue my masters degree from The George Washington University in computer sciences
-- why this university
- This university falls in R1 category which is a highly research based university. Also, the course major i was offered is relevant to my final year project.
-- when did you graduate 
- in dec 2022
-- which university you have graduated from
- told
-- are you currently doing a job
- no
--who will sponsor you
- my father will pay my expenses
-- what does he do
- he is a businessman and owns a x business and his import business.
-- Do you have any travel history
- no
-Do you have any relatives in USA
- no
After a pause of 10-15 sec's.
You are not qualified for the visa at this time.
Is it worth applying again for the next intake. If so, when is the feasible time to reattempt. Also, where i am lacking?
"
19,"
Hello Everyone, 
My visa was refused under 221g on May 15, and since then I haven't heard from the consulate. My classes are going to start from August 15. I am worried about semester deferral as scholarship may not be deferred. In this situation what should I do?
- Can I cancel the previous appointment and book another visa appointment? 
Thank you
"
20,"
Status: Refused
Embassy: Karachi
Time: 8:45 a.m
Interview time: 9:15 a.m 
Me: 
Heyy, Good morning how are you..?
V: Good morning I'm good. Can you pass me you passport and documents?
V: Gimme a minute ... Typing
V: Why ah which program did you apply for?
Me: MSBA== Master of Science in Business Analytics 
V: Where did you apply and got accepted?
Me: I applied to 8 different universities but chose the university of Hartford Connecticut as it is among 5% of world's best business schools and also the insurance capital of world which offers exceptional internship linkages with University which will help me get hands on experience of using big data and key points of handling business profits based on data.
She didn't say anything so I said I also got scholarship from Hartford $4000 and you can view my scholarship too
She didn't see or respond 
V: Asked me with a hand gesture to stop and questioned
So will you work at the insurance company?
Me: No, I want to work with my father for his business.
V: And your father does?
Me: He has a wholesale business of mobile accessories and electronics
V: What do you want to do after in long run?
Me: I plan to come back to Pakistan and help my father with his business as he had built this company from 2004 and did well to support me for my higher education. 
You can view these property documents 
V: She said no need and started looking at her computer 
Me: So by doing my masters I will be able to generate data driven decisions and  by the help of applying my practical skills that I will get at university I will be able to flexibly decide which department best fit my career like Marketing Analyst, Financial Analyst or Business Strategic Analyst.
She kept looking so I continued As per In long run I will also get a chance to start my own consultancy to help businesses in Pakistan to provide them with support of business Analytics and deal with strategic business decisions. As 60% of businesses fail in Pakistan due to poor decision making and not using existing data or business forecasts to generate insights.
V: Can you pass me the bank statement?
Me: Sure okay here you go.
V: How many siblings do you have?
Me: I have 4 siblings 3 brothers and 1 sister
V: What do they do? 
Me: My brothers work and my sister studies accounting.
V: Do you have any relative in USA?
Me: No
V: And you were Currently Were you working at JTR?
Me: Yes, I was working.. before I can complete my answer she said is that the same as your father's company?
V: Then she left saying gimme a moment
Came back silent and Sorry you did not qualify
Me: please state the reason?
V: you will be emailed.
Me: I looked at her and picked me stuff and left.
Kindly share what went wrong from your experience.... And what to change for reappointment?
"
21,"
Aoa all,
Yesterday my F1 visa was refused (214-b), I had a scholarship(sponser) from my cousin. He owns a company in NYC. My interview went very good. She refused my Visa after seeing the scholarship letter, no questions after that.
Today I went to a consultant, he told me that last year US made a policy that bank statements can't be used from a person in US. Bank Statements must be from Pakistan. (That's the reason for refusal).
Is 
it true ? Is there any new policy like that ?
Thank you.
"
22,"
Interview Experience: 
Visa type: J1 
Attempt: 2nd 
2 times Refused
First interview was on January 16. In the interview I got nervous and didn't perform well. Got refused. 
Second interview: 
24.01.2024 
Isb embassy
I was very confident and fluent throughout the interview this time. I handed over my DS -2019, SEVIS fee receipt and passport. 
VO: Tell me about your program. 
Me: I'm going to undertake a research scholar position at University of Florida in which I'll be engaged in research activities related to (told about my responsibilities as mentioned in the offer letter.
VO: So, you're going for a postdoc?
Me: No officer, I've just completed my masters two months ago and I'm going for a one year program in Dr. XYZ's lab. 
VO: How're you gonna manage your expense? 
Me: The university will pay me a monthly salary of 2560$ equivalent to 16$/hour. I'll be working full time on campus. 
VO: How did you come across this opportunity? 
Me: I was in my last semester of masters when I started looking for research opportunities in my field. I happened to see this position advertised by Dr XYZ on his webpage. Recognizing our mutual research interests, I reached out to him and expressed my interest. This led to an interview process and I got selected for this position. 
VO: What was your masters thesis topic? 
Me: Told thesis title and how my previous research relates to this opportunity
VO: Any family members in USA?
ME: No
VO: Have you travelled before out of Pakistan? 
Me: No 
VO: Sorry, US laws are very strict for this type of visa and you're not eligible for this. Gave me a while note again. 
Please someone help me in this matter. I'm very worried. This is my second rejection. 
What should I do now?
"
23,"
F-1 Status : Refused 
Visa interview experience!!
Arkansas Tech University
ICS 76% 2020 
3 Years Gap 
Bachelors in Cyber Security
He didn't even asked for a single document like he already knew he's going to reject me 
Islamabad embassy
8:00 AM full Beard American guy 
Me: good morning
VO: so what university are you going?
Me: I'm going to Arkansas Tech University
VO: ok. What course ?
Me: Bachelor of Cyber Security
VO: why this University ? 
Me: it's Quite Affordable and good university I choose more of 2 but it was good in my budget as I'm going to us so obviously I need
VO:How many siblings do you have?
Me:i have three 
VO: what are they doing?
Me: told
Who's going to sponsor : myself 
VO: what does father do 
Me: told :  he is In Pakistan Airforce at HSM Rank ( not so good) 
Vo:did you have travelled anywhere?
Me: yes many countries and told name
At End : Thanks for coming but now a days rules are strict
Bye bye Ta Ta 
I wasn't prepared and knew that I will be rejected I know myself mistakes that I made
Need suggestions of you guys now
I know university wasn't good
I should never put myself as a sponsor morover cyber security is like into some red flag course
"
24,"
US B1/B2 visa refused 
Oct 27 2023
Karachi 
Applied with wife and 3.5 years old son
First, they took the documents DS160 and passport.
Then 
 called us for finger prints.
Then interview:
She was a young lady and a senior lady was standing beside her.
Lady: What is the purpose of your visit?
Me: going to attend the HX hotel exhibition. Which is related to my business.
Lady:  what is your business?
Me: i own a restaurant named XYZ. 
Lady: what kind of restaurant is this?
Me: It's a fast food restaurant. Pizza burgers.
Lady: what is your monthly income?
Me: when I applied for a visa it was .... but now its  increased.
Lady: how many employees do you have?
Me: 9
Lady: have you visited any other country before ?
Me: yes i have lived 8 years in Dubai.
Lady: from which year to Which year?
Me:2013 to 2021
Lady: have you lived with your family in any country?
Me: yes we lived in dubai.
Lady: do you have any relatives in the USA?
Me: no
Lady: then how are you gonna stay there?
Me: it's a short trip and we will stay in a hotel. 
Then she started talking to a senior lady.
The senior lady was talking and shaking head like saying no ...the interviewer lady seemed like convincing her. They did a discussion for about 30 sec then the senior lady left. The young lady started typing.....after almost 1 min of typing she refused and pass me the yellow paper
This counter was rejecting everyone 
Don't know the reason. The interview was going well.
"
25,"
Embassy : Islamabad
Date : 4 January 2024
Status : Refused
University : Queens College, CUNY
Program : Bachelor’s Computer Science 
A 
male in 40s with beard refused my visa and handed me over white slip 214(b) 
Failure to Qualify For Reasons Other Than Failure to Show Ties.
Please have a look at my interview and suggest what went wrong.
Me: Good morning I hope you’re well.
VO: Good Morning, Please hand me over your documents.
Me: Sure.
VO: Why City University of New York?
Me: This university perfectly aligns with my interests as it offers a strong computer science program, good student faculty ratio, diverse and supportive environment for international student. Moreover this university is highly ranked and was my second priority after Penn state
( VO looked impressed with the answer )
VO: What universities did you applied?
Me: Penn State, CUNY and Texas Tech.
VO: Who is going to fund your studies?
Me: My Mother.
VO: What does she do?
Me: She owns a luxury boutique and a commercial building from where she receives rental income.
VO: (Was Quiet for 10-15 Sec then) What Boutique?
Me: (Here I stumbled a bit) Luxury clothes, Couture Handmade fancy dresses they sell expensive. My mother is a wealthy woman.
VO: (After 15-20 secs of typing handed me over White Slip 214b)
Please guide me on what went wrong, I had all necessary documents along like bank statement but he didn’t asked. What should I do Should I go for second attempt?
Plus my extended family lives in US too and I selected yes to other relatives question in DS-160.
"
26,"
27 March 2023
Islamabad Embassy 
2nd Attempt
Visa Refused
Time 10:00 Am
Counter no 16
Visa Officer with Long Beard 
Me : Good Morning 
VO : Good Morning 
Vo : Pass me your Documents 
Vo: Why are you going to USA?
Me : I’m going for my master degree program in computer science 
Vo: why you choose this University?
Me: I told him two reasons about the professors and their education block system 
Vo: What are you doing currently?
Me : In 2018 to 2021 i did a job as a java developer. I lost my job due to covid-19 then take a break and start preparing myself for the competitive exam. Unfortunately that didn’t workout for me now decided to do my master degree in computer science.
Vo : Typing for at least on 1 minute.
After that pass me the yellow slip.
Me: Could you please tell me any specific reason this is my second time i got rejected.
Vo : For this visa you have to be a genuine Student.
Last time I mentioned in the ds160 I’m currently not employed and working as a freelancer and also have a job experience previously.
This time I mentioned in the ds 160 i‘m currently not employed but have a previous experience working as a java developer. I just change one thing not mentioned this time about freelancing.
Needs Your Suggestions
"
